Block,Col,Row,RILSet,Dormancy,Envt,Ident,Year,Date,CensusN,SeedlingN.circle,RosetteN.circle,Bolting.circle,Flowering.circle,Fruiting.circle,mat.dead.circle,SeedlingN.OC,RosetteN.OC,Bolting.OC,Flowering.OC,Fruiting.OC,mat.dead.OC,TOTAL
1,A,0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1,6/12/19,1.01,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0
1,A,0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1,6/16/19,1.02,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0
1,A,0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1,6/26/19,1.03,0,0,0,0,0,0,NA,0,0,0,0,0,0
1,A,0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1,7/3/19,1.04,0,0,0,0,0,0,NA,0,0,0,0,0,0
1,A,0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1,7/10/19,1.05,NA,0,0,0,0,0,NA,0,0,0,0,0,0
1,A,0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1,7/17/19,1.06,0,0,0,0,0,0,NA,0,0,0,0,0,0
1,A,0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1,7/24/19,1.07,0,0,0,0,0,0,NA,0,0,0,0,0,0
1,A,0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1,7/31/19,1.08,0,0,0,0,0,0,NA,0,0,0,0,0,0
1,A,0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1,8/7/19,1.09,0,0,0,0,0,0,NA,0,0,0,0,0,0
1,A,0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1,8/15/19,1.1,0,0,0,0,0,0,NA,0,0,0,0,0,0
1,A,0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1,8/20/19,1.11,0,0,0,0,0,0,NA,0,0,0,0,0,0
1,A,0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1,8/28/19,1.12,0,0,0,0,0,0,NA,0,0,0,0,0,0
1,A,0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1,9/4/19,1.13,0,0,0,0,0,0,NA,0,0,0,0,0,0
1,A,0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1,9/11/19,1.14,0,0,0,0,0,0,NA,0,0,0,0,0,0
1,A,0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1,9/18/19,1.15,0,0,0,0,0,0,NA,0,0,0,0,0,0
1,A,0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1,9/25/19,1.16,0,0,0,0,0,0,NA,0,0,0,0,0,0
1,A,0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1,10/2/19,1.17,0,0,0,0,0,0,NA,0,0,0,0,0,0
1,A,0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1,10/9/19,1.18,0,0,0,0,0,0,NA,0,0,0,0,0,0
1,A,0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1,10/18/19,1.19,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0
1,A,0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1,10/23/19,1.2,15,0,0,0,0,0,NA,NA,NA,NA,NA,0,15
1,A,0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1,11/6/19,1.22,2,17,0,0,0,0,NA,NA,NA,NA,NA,0,19
1,A,0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1,11/20/19,1.23,0,8,0,0,0,0,NA,NA,NA,NA,NA,0,8
1,A,0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1,12/4/19,1.24,0,16,0,0,0,0,NA,NA,NA,NA,NA,0,16
1,A,0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1,12/20/19,1.25,2,45,0,0,0,0,NA,15,0,0,0,0,62
1,A,0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1,2/10/20,1.26,4,22,0,1,0,0,NA,NA,0,9,0,0,36
