Count of Bay Genotype,14,16,17,16,18,19,16,13,11,10,9,7,7,6,7,8,11,12,11,12,12,13,19,16,16,15,12,11,9,12,14,13,13,13,9,6,6,7,7,8,5,13,13,14,13,12,12,16,16,19,16,14,5,4,5,8,10,9,9,10,11,9,9,8,10,15,16,16,15
Count of Heterozygotes,0,0,1,1,0,0,1,2,2,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,2,1,1,0,1,0,0,0,0,0,0,1,1,2,1,1,1,2,1
Count of Crosses,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Count of NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
Total # alleles,806,806,806,806,806,806,806,806,770,806,806,806,806,806,806,806,806,806,806,770,806,770,806,806,806,806,806,806,806,806,806,806,806,806,806,806,806,770,806,734,806,806,806,806,806,806,806,806,806,806,806,806,806,806,806,806,806,806,806,806,770,806,806,806,734,806,806,806,806
Dormant Pop Allele Frequency,0.700992556,0.790322581,0.857320099,0.812655087,0.879652605,1,0.812655087,0.700992556,0.64025974,0.544665012,0.5,0.410669975,0.388337469,0.343672457,0.388337469,0.455334988,0.566997519,0.611662531,0.589330025,0.663636364,0.633995037,0.71038961,1,0.790322581,0.790322581,0.745657568,0.611662531,0.566997519,0.477667494,0.633995037,0.700992556,0.67866005,0.67866005,0.656327543,0.5,0.366004963,0.366004963,0.42987013,0.410669975,0.475476839,0.299007444,0.67866005,0.67866005,0.700992556,0.656327543,0.633995037,0.633995037,0.790322581,0.790322581,1,0.834987593,0.723325062,0.32133995,0.254342432,0.32133995,0.433002481,0.522332506,0.477667494,0.477667494,0.522332506,0.593506494,0.5,0.5,0.477667494,0.598092643,0.767990074,0.812655087,0.834987593,0.767990074
Count of Bay Genotype,6,6,4,4,1,0,2,9,12,14,14,13,13,12,14,11,13,14,5,3,2,2,0,4,7,8,10,10,10,7,9,8,8,8,7,8,12,11,10,10,8,9,10,8,8,8,6,0,0,0,1,6,10,7,6,8,10,10,9,12,13,14,14,14,15,16,16,13,14
Count of Heterozygotes,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,0,0,1,1,1,1,0,0,1,0,0,0,1,0,3,2,2,2,1,1,1,1,1,1,0,1,0,0,1,1
Count of Crosses,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Count of NA,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
