Year,Block,PopId,RILSet,Dormancy,Envt,IndivID,BandColor,Fruits
1,1,A_0,IS,Dormant,Litter,1,IC,9
1,1,A_0,IS,Dormant,Litter,2,OC,3
1,1,A_0,IS,Dormant,Litter,3,OC,20
1,1,A_0,IS,Dormant,Litter,4,OC,6
1,1,A_0,IS,Dormant,Litter,5,OC,71
1,1,A_0,IS,Dormant,Litter,6,OC,39
1,1,A_0,IS,Dormant,Litter,7,OC,47
1,1,A_0,IS,Dormant,Litter,8,OC,17
1,1,A_0,IS,Dormant,Litter,9,OC,11
1,1,A_0,IS,Dormant,Litter,10,OC,38
1,1,A_0,IS,Dormant,Litter,11,IC,3
1,1,A_0,IS,Dormant,Litter,12,OC,11
1,1,A_0,IS,Dormant,Litter,13,OC,10
1,1,A_0,IS,Dormant,Litter,14,OC,5
1,1,A_0,IS,Dormant,Litter,15,OC,7
1,1,A_0,IS,Dormant,Litter,16,OC,5
1,1,A_0,IS,Dormant,Litter,17,OC,8
1,1,A_0,IS,Dormant,Litter,18,OC,14
2,1,A_0,IS,Dormant,Litter,0,unmarked,0
1,1,A_3,IS,Non-Dormant,Litter,1,OC,4
1,1,A_3,IS,Non-Dormant,Litter,2,OC,3
1,1,A_3,IS,Non-Dormant,Litter,3,OC,2
1,1,A_3,IS,Non-Dormant,Litter,4,OC,2
1,1,A_3,IS,Non-Dormant,Litter,5,OC,3
1,1,A_3,IS,Non-Dormant,Litter,6,OC,3
1,1,A_3,IS,Non-Dormant,Litter,7,OC,6
1,1,A_3,IS,Non-Dormant,Litter,8,OC,3
1,1,B_2,IS,Non-Dormant,High Humidity,1,IC,2
1,1,B_2,IS,Non-Dormant,High Humidity,2,IC,3
1,1,B_2,IS,Non-Dormant,High Humidity,3,IC,4
1,1,B_2,IS,Non-Dormant,High Humidity,4,IC,6
1,1,B_2,IS,Non-Dormant,High Humidity,5,IC,3
1,1,B_2,IS,Non-Dormant,High Humidity,6,IC,9
1,1,B_2,IS,Non-Dormant,High Humidity,7,IC,15
