Block,PopId,RILSet,Dormancy,Envt,Ident,CensusN,Newsdls,Year,Date,JulianDate
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1.01,0,1,2019-06-12,163
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1.02,0,1,2019-06-16,167
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1.03,0,1,2019-06-26,177
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1.04,0,1,2019-07-03,184
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1.05,NA,1,2019-07-10,191
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1.06,NA,1,2019-07-17,198
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1.07,0,1,2019-07-24,205
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1.08,0,1,2019-07-31,212
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1.09,0,1,2019-08-07,219
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1.1,0,1,2019-08-15,227
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1.11,0,1,2019-08-20,232
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1.12,0,1,2019-08-28,240
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1.13,0,1,2019-09-04,247
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1.14,0,1,2019-09-11,254
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1.15,0,1,2019-09-18,261
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1.16,0,1,2019-09-25,268
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1.17,0,1,2019-10-02,275
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1.18,0,1,2019-10-09,282
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1.19,0,1,2019-10-18,291
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1.2,15,1,2019-10-23,296
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1.22,4,1,2019-11-06,310
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1.23,0,1,2019-11-20,324
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1.24,8,1,2019-12-04,338
