PopId,Block,RILSet,Dormancy,Envt,sumY1Total,Y1Germ,sumY1Rep,Y1Rep,sumy2Total,y2Germ,sumy2Rep,y2Rep,sumy3Total,y3Germ,Y1Persistence,Y2Persistence,Y3Resurrection
A_0,1,Italy x Sweden,Dormant,Straw Litter,233,Established,46,Persisted,30,Established,0,Disappeared,526,Established,Established and Persisted,Persisted then Disappeared,Reappeared
A_1,1,Germany x Tajikistan,Dormant,Control,80,Established,23,Persisted,716,Established,1,Persisted,995,Established,Established and Persisted,Persisted,Persisted
A_2,1,UK x USA,Dormant,Control,20,Established,1,Persisted,44,Established,0,Disappeared,10,Established,Established and Persisted,Persisted then Disappeared,Reappeared
A_3,1,Italy x Sweden,Non-Dormant,Straw Litter,1523,Established,90,Persisted,6,Established,0,Disappeared,165,Established,Established and Persisted,Persisted then Disappeared,Reappeared
A_4,1,Italy x Sweden,Mixed,High Humidity,1080,Established,362,Persisted,1938,Established,116,Persisted,2330,Established,Established and Persisted,Persisted,Persisted
A_5,2,Italy x Sweden,Mixed,Straw Litter,96,Established,31,Persisted,1,Established,0,Disappeared,182,Established,Established and Persisted,Persisted then Disappeared,Reappeared
A_6,2,Germany x Tajikistan,Dormant,Straw Litter,8,Established,1,Persisted,3,Established,0,Disappeared,NA,NA,Established and Persisted,Persisted then Disappeared,NA
A_7,2,Italy x Sweden,Mixed,Native Soil,400,Established,233,Persisted,84,Established,68,Persisted,198,Established,Established and Persisted,Persisted,Persisted
A_8,2,UK x USA,Mixed,Control,44,Established,7,Persisted,89,Established,1,Persisted,69,Established,Established and Persisted,Persisted,Persisted
A_9,3,Italy x Sweden,Dormant,Native Soil,276,Established,171,Persisted,491,Established,179,Persisted,316,Established,Established and Persisted,Persisted,Persisted
A_10,3,Italy x Sweden,Non-Dormant,Straw Litter,5,Established,1,Persisted,0,Never Established,0,Disappeared,3,Established,Established and Persisted,Disappeared after Year 1,Reappeared
A_11,3,UK x USA,Dormant,Control,5,Established,5,Persisted,80,Established,0,Disappeared,55,Established,Established and Persisted,Persisted then Disappeared,Reappeared
A_12,3,Germany x Tajikistan,Mixed,Control,18,Established,12,Persisted,127,Established,0,Disappeared,30,Established,Established and Persisted,Persisted then Disappeared,Reappeared
B_0,1,Italy x Sweden,Dormant,Native Soil,146,Established,88,Persisted,0,Never Established,0,Disappeared,27,Established,Established and Persisted,Disappeared after Year 1,Reappeared
B_1,1,Italy x Sweden,Mixed,Control,103,Established,10,Persisted,161,Established,0,Disappeared,171,Established,Established and Persisted,Persisted then Disappeared,Reappeared
B_2,1,Italy x Sweden,Non-Dormant,High Humidity,2069,Established,373,Persisted,271,Established,2,Persisted,1589,Established,Established and Persisted,Persisted,Persisted
B_3,1,Germany x Tajikistan,Non-Dormant,Control,2,Established,0,Disappeared,48,Established,0,Disappeared,246,Established,Established then Disappeared,Reappeared then Disappeared,Reappeared
B_4,1,Italy x Sweden,Dormant,High Humidity,973,Established,552,Persisted,149,Established,70,Persisted,3288,Established,Established and Persisted,Persisted,Persisted
B_5,2,UK x USA,Dormant,Control,16,Established,6,Persisted,146,Established,0,Disappeared,14,Established,Established and Persisted,Persisted then Disappeared,Reappeared
B_6,2,Italy x Sweden,Non-Dormant,High Humidity,141,Established,29,Persisted,370,Established,34,Persisted,1686,Established,Established and Persisted,Persisted,Persisted
B_7,2,Italy x Sweden,Mixed,Control,160,Established,106,Persisted,89,Established,13,Persisted,1481,Established,Established and Persisted,Persisted,Persisted
B_8,2,Germany x Tajikistan,Non-Dormant,Control,5,Established,0,Disappeared,131,Established,0,Disappeared,0,Never Established,Established then Disappeared,Reappeared then Disappeared,Disappeared
B_9,3,UK x USA,Mixed,Control,12,Established,2,Persisted,25,Established,5,Persisted,39,Established,Established and Persisted,Persisted,Persisted
B_10,3,UK x USA,Non-Dormant,Control,1,Established,0,Disappeared,0,Never Established,0,Disappeared,8,Established,Established then Disappeared,Disappeared after Year 1,Reappeared
B_11,3,Italy x Sweden,Non-Dormant,Native Soil,183,Established,99,Persisted,9,Established,0,Disappeared,113,Established,Established and Persisted,Persisted then Disappeared,Reappeared
B_12,3,Italy x Sweden,Mixed,Native Soil,180,Established,104,Persisted,3,Established,0,Disappeared,167,Established,Established and Persisted,Persisted then Disappeared,Reappeared
B_13,3,Italy x Sweden,Dormant,Straw Litter,18,Established,6,Persisted,0,Never Established,0,Disappeared,73,Established,Established and Persisted,Disappeared after Year 1,Reappeared
C_0,1,Germany x Tajikistan,Non-Dormant,Straw Litter,15,Established,2,Persisted,0,Never Established,0,Disappeared,NA,NA,Established and Persisted,Disappeared after Year 1,NA
C_1,1,Italy x Sweden,Dormant,Control,83,Established,12,Persisted,30,Established,2,Persisted,677,Established,Established and Persisted,Persisted,Persisted
C_2,1,Italy x Sweden,Non-Dormant,Control,18,Established,8,Persisted,62,Established,0,Disappeared,171,Established,Established and Persisted,Persisted then Disappeared,Reappeared
C_3,1,Italy x Sweden,Mixed,Straw Litter,163,Established,35,Persisted,10,Established,0,Disappeared,463,Established,Established and Persisted,Persisted then Disappeared,Reappeared
C_4,1,Germany x Tajikistan,Dormant,Straw Litter,24,Established,11,Persisted,0,Never Established,0,Disappeared,NA,NA,Established and Persisted,Disappeared after Year 1,NA
C_5,2,UK x USA,Non-Dormant,Control,3,Established,3,Persisted,126,Established,0,Disappeared,87,Established,Established and Persisted,Persisted then Disappeared,Reappeared
C_6,2,Germany x Tajikistan,Dormant,Control,5,Established,0,Disappeared,92,Established,0,Disappeared,1,Established,Established then Disappeared,Reappeared then Disappeared,Reappeared
C_7,2,Italy x Sweden,Dormant,Control,54,Established,13,Persisted,81,Established,16,Persisted,567,Established,Established and Persisted,Persisted,Persisted
