PopId,Block,RILSet,Dormancy,Envt,Year,TotalFRMD,Totalrosettes,RoseSurv
A_0,1,Italy x Sweden,Dormant,Litter,1,3,54,0.05555555555555555
A_0,1,Italy x Sweden,Dormant,Litter,2,0,0,NA
A_1,1,Germany x Tajikistan,Dormant,Control,1,1,18,0.05555555555555555
A_1,1,Germany x Tajikistan,Dormant,Control,2,0,0,NA
A_10,3,Italy x Sweden,Non-Dormant,Litter,1,0,1,0
A_10,3,Italy x Sweden,Non-Dormant,Litter,2,0,0,NA
A_11,3,UK x USA,Dormant,Control,1,0,0,NA
A_11,3,UK x USA,Dormant,Control,2,0,0,NA
A_12,3,Germany x Tajikistan,Mixed,Control,1,0,0,NA
A_12,3,Germany x Tajikistan,Mixed,Control,2,0,0,NA
A_2,1,UK x USA,Dormant,Control,1,0,1,0
A_2,1,UK x USA,Dormant,Control,2,0,0,NA
A_3,1,Italy x Sweden,Non-Dormant,Litter,1,2,157,0.012738853503184714
A_3,1,Italy x Sweden,Non-Dormant,Litter,2,0,0,NA
A_4,1,Italy x Sweden,Mixed,High Humidity,1,49,105,0.4666666666666667
A_4,1,Italy x Sweden,Mixed,High Humidity,2,1,45,0.022222222222222223
A_5,2,Italy x Sweden,Mixed,Litter,1,0,4,0
A_5,2,Italy x Sweden,Mixed,Litter,2,0,1,0
A_6,2,Germany x Tajikistan,Dormant,Litter,1,0,0,NA
A_6,2,Germany x Tajikistan,Dormant,Litter,2,0,0,NA
A_7,2,Italy x Sweden,Mixed,Native Soil,1,45,38,1
A_7,2,Italy x Sweden,Mixed,Native Soil,2,0,0,NA
A_8,2,UK x USA,Mixed,Control,1,0,6,0
A_8,2,UK x USA,Mixed,Control,2,0,0,NA
A_9,3,Italy x Sweden,Dormant,Native Soil,1,19,12,1
A_9,3,Italy x Sweden,Dormant,Native Soil,2,0,1,0
B_0,1,Italy x Sweden,Dormant,Native Soil,1,8,9,0.8888888888888888
B_0,1,Italy x Sweden,Dormant,Native Soil,2,0,0,NA
B_1,1,Italy x Sweden,Mixed,Control,1,0,13,0
B_1,1,Italy x Sweden,Mixed,Control,2,0,0,NA
B_10,3,UK x USA,Non-Dormant,Control,1,0,0,NA
B_10,3,UK x USA,Non-Dormant,Control,2,0,0,NA
B_11,3,Italy x Sweden,Non-Dormant,Native Soil,1,19,22,0.8636363636363636
B_11,3,Italy x Sweden,Non-Dormant,Native Soil,2,0,0,NA
B_12,3,Italy x Sweden,Mixed,Native Soil,1,11,26,0.4230769230769231
B_12,3,Italy x Sweden,Mixed,Native Soil,2,0,0,NA
B_13,3,Italy x Sweden,Dormant,Litter,1,0,0,NA
B_13,3,Italy x Sweden,Dormant,Litter,2,0,0,NA
B_2,1,Italy x Sweden,Non-Dormant,High Humidity,1,26,262,0.09923664122137404
B_2,1,Italy x Sweden,Non-Dormant,High Humidity,2,0,2,0
B_3,1,Germany x Tajikistan,Non-Dormant,Control,1,0,0,NA
B_3,1,Germany x Tajikistan,Non-Dormant,Control,2,0,0,NA
B_4,1,Italy x Sweden,Dormant,High Humidity,1,46,43,1
B_4,1,Italy x Sweden,Dormant,High Humidity,2,0,8,0
B_5,2,UK x USA,Dormant,Control,1,0,0,NA
B_5,2,UK x USA,Dormant,Control,2,0,0,NA
B_6,2,Italy x Sweden,Non-Dormant,High Humidity,1,8,9,0.8888888888888888
B_6,2,Italy x Sweden,Non-Dormant,High Humidity,2,0,4,0
B_7,2,Italy x Sweden,Mixed,Control,1,14,11,1
B_7,2,Italy x Sweden,Mixed,Control,2,0,0,NA
B_8,2,Germany x Tajikistan,Non-Dormant,Control,1,0,1,0
B_8,2,Germany x Tajikistan,Non-Dormant,Control,2,0,0,NA
B_9,3,UK x USA,Mixed,Control,1,0,0,NA
B_9,3,UK x USA,Mixed,Control,2,0,0,NA
C_0,1,Germany x Tajikistan,Non-Dormant,Litter,1,1,2,0.5
C_0,1,Germany x Tajikistan,Non-Dormant,Litter,2,0,0,NA
C_1,1,Italy x Sweden,Dormant,Control,1,0,7,0
C_1,1,Italy x Sweden,Dormant,Control,2,0,0,NA
C_10,3,Italy x Sweden,Dormant,High Humidity,1,3,1,1
C_10,3,Italy x Sweden,Dormant,High Humidity,2,0,1,0
C_11,3,Germany x Tajikistan,Non-Dormant,Litter,1,0,0,NA
C_11,3,Germany x Tajikistan,Non-Dormant,Litter,2,0,0,NA
C_12,3,Germany x Tajikistan,Dormant,Control,1,0,0,NA
C_12,3,Germany x Tajikistan,Dormant,Control,2,0,0,NA
C_13,3,Italy x Sweden,Mixed,High Humidity,1,1,1,1
C_13,3,Italy x Sweden,Mixed,High Humidity,2,0,0,NA
C_2,1,Italy x Sweden,Non-Dormant,Control,1,1,1,1
C_2,1,Italy x Sweden,Non-Dormant,Control,2,0,0,NA
C_3,1,Italy x Sweden,Mixed,Litter,1,2,11,0.18181818181818182
C_3,1,Italy x Sweden,Mixed,Litter,2,0,0,NA
C_4,1,Germany x Tajikistan,Dormant,Litter,1,0,5,0
C_4,1,Germany x Tajikistan,Dormant,Litter,2,0,0,NA
C_5,2,UK x USA,Non-Dormant,Control,1,0,0,NA
