PopId,Block,RILSet,Dormancy,Envt,Timepoint,Fluct
A_0,1,Italy x Sweden,Dormant,Litter,Yr 1-2,-42
A_0,1,Italy x Sweden,Dormant,Litter,Yr 2-3,55
A_1,1,Germany x Tajikistan,Dormant,Control,Yr 1-2,257
A_1,1,Germany x Tajikistan,Dormant,Control,Yr 2-3,-217
A_10,3,Italy x Sweden,Non-Dormant,Litter,Yr 1-2,-4
A_10,3,Italy x Sweden,Non-Dormant,Litter,Yr 2-3,3
A_11,3,UK x USA,Dormant,Control,Yr 1-2,43
A_11,3,UK x USA,Dormant,Control,Yr 2-3,-30
A_12,3,Germany x Tajikistan,Mixed,Control,Yr 1-2,27
A_12,3,Germany x Tajikistan,Mixed,Control,Yr 2-3,-25
A_2,1,UK x USA,Dormant,Control,Yr 1-2,-8
A_2,1,UK x USA,Dormant,Control,Yr 2-3,-3
A_3,1,Italy x Sweden,Non-Dormant,Litter,Yr 1-2,-237
A_3,1,Italy x Sweden,Non-Dormant,Litter,Yr 2-3,4
A_4,1,Italy x Sweden,Mixed,High Humidity,Yr 1-2,402
A_4,1,Italy x Sweden,Mixed,High Humidity,Yr 2-3,-300
A_5,2,Italy x Sweden,Mixed,Litter,Yr 1-2,-20
A_5,2,Italy x Sweden,Mixed,Litter,Yr 2-3,29
A_6,2,Germany x Tajikistan,Dormant,Litter,Yr 1-2,-4
A_6,2,Germany x Tajikistan,Dormant,Litter,Yr 2-3,NA
A_7,2,Italy x Sweden,Mixed,Native Soil,Yr 1-2,-52
A_7,2,Italy x Sweden,Mixed,Native Soil,Yr 2-3,3
A_8,2,UK x USA,Mixed,Control,Yr 1-2,10
A_8,2,UK x USA,Mixed,Control,Yr 2-3,-16
A_9,3,Italy x Sweden,Dormant,Native Soil,Yr 1-2,-35
A_9,3,Italy x Sweden,Dormant,Native Soil,Yr 2-3,16
B_0,1,Italy x Sweden,Dormant,Native Soil,Yr 1-2,-10
B_0,1,Italy x Sweden,Dormant,Native Soil,Yr 2-3,1
B_1,1,Italy x Sweden,Mixed,Control,Yr 1-2,46
B_1,1,Italy x Sweden,Mixed,Control,Yr 2-3,-51
B_10,3,UK x USA,Non-Dormant,Control,Yr 1-2,-1
B_10,3,UK x USA,Non-Dormant,Control,Yr 2-3,4
B_11,3,Italy x Sweden,Non-Dormant,Native Soil,Yr 1-2,-21
B_11,3,Italy x Sweden,Non-Dormant,Native Soil,Yr 2-3,2
B_12,3,Italy x Sweden,Mixed,Native Soil,Yr 1-2,-28
B_12,3,Italy x Sweden,Mixed,Native Soil,Yr 2-3,11
B_13,3,Italy x Sweden,Dormant,Litter,Yr 1-2,0
B_13,3,Italy x Sweden,Dormant,Litter,Yr 2-3,23
B_2,1,Italy x Sweden,Non-Dormant,High Humidity,Yr 1-2,-438
B_2,1,Italy x Sweden,Non-Dormant,High Humidity,Yr 2-3,14
B_3,1,Germany x Tajikistan,Non-Dormant,Control,Yr 1-2,5
B_3,1,Germany x Tajikistan,Non-Dormant,Control,Yr 2-3,32
B_4,1,Italy x Sweden,Dormant,High Humidity,Yr 1-2,-19
B_4,1,Italy x Sweden,Dormant,High Humidity,Yr 2-3,236
B_5,2,UK x USA,Dormant,Control,Yr 1-2,36
B_5,2,UK x USA,Dormant,Control,Yr 2-3,-45
B_6,2,Italy x Sweden,Non-Dormant,High Humidity,Yr 1-2,191
B_6,2,Italy x Sweden,Non-Dormant,High Humidity,Yr 2-3,-18
B_7,2,Italy x Sweden,Mixed,Control,Yr 1-2,41
B_7,2,Italy x Sweden,Mixed,Control,Yr 2-3,126
B_8,2,Germany x Tajikistan,Non-Dormant,Control,Yr 1-2,40
B_8,2,Germany x Tajikistan,Non-Dormant,Control,Yr 2-3,-45
B_9,3,UK x USA,Mixed,Control,Yr 1-2,4
B_9,3,UK x USA,Mixed,Control,Yr 2-3,-10
C_0,1,Germany x Tajikistan,Non-Dormant,Litter,Yr 1-2,-2
C_0,1,Germany x Tajikistan,Non-Dormant,Litter,Yr 2-3,NA
