PopId,Block,RILSet,Dormancy,Envt,Year,Totalrosettes,Totalsdls,SurvtoRose
A_0,1,Italy x Sweden,Dormant,Litter,1,54,60,0.9
A_0,1,Italy x Sweden,Dormant,Litter,2,0,18,0
A_0,1,Italy x Sweden,Dormant,Litter,3,47,73,0.6438356164383562
A_1,1,Germany x Tajikistan,Dormant,Control,1,18,34,0.5294117647058824
A_1,1,Germany x Tajikistan,Dormant,Control,2,0,291,0
A_1,1,Germany x Tajikistan,Dormant,Control,3,27,74,0.36486486486486486
A_10,3,Italy x Sweden,Non-Dormant,Litter,1,1,4,0.25
A_10,3,Italy x Sweden,Non-Dormant,Litter,2,0,0,NA
A_10,3,Italy x Sweden,Non-Dormant,Litter,3,3,3,1
A_11,3,UK x USA,Dormant,Control,1,0,0,NA
A_11,3,UK x USA,Dormant,Control,2,0,43,0
A_11,3,UK x USA,Dormant,Control,3,1,13,0.07692307692307693
A_12,3,Germany x Tajikistan,Mixed,Control,1,0,4,0
A_12,3,Germany x Tajikistan,Mixed,Control,2,0,31,0
A_12,3,Germany x Tajikistan,Mixed,Control,3,4,6,0.6666666666666666
A_2,1,UK x USA,Dormant,Control,1,1,12,0.08333333333333333
A_2,1,UK x USA,Dormant,Control,2,0,4,0
A_2,1,UK x USA,Dormant,Control,3,0,1,0
A_3,1,Italy x Sweden,Non-Dormant,Litter,1,157,243,0.6460905349794238
A_3,1,Italy x Sweden,Non-Dormant,Litter,2,0,6,0
A_3,1,Italy x Sweden,Non-Dormant,Litter,3,6,10,0.6
A_4,1,Italy x Sweden,Mixed,High Humidity,1,105,147,0.7142857142857143
A_4,1,Italy x Sweden,Mixed,High Humidity,2,45,549,0.08196721311475409
A_4,1,Italy x Sweden,Mixed,High Humidity,3,111,249,0.4457831325301205
A_5,2,Italy x Sweden,Mixed,Litter,1,4,21,0.19047619047619047
A_5,2,Italy x Sweden,Mixed,Litter,2,1,1,1
A_5,2,Italy x Sweden,Mixed,Litter,3,22,30,0.7333333333333333
A_6,2,Germany x Tajikistan,Dormant,Litter,1,0,4,0
A_6,2,Germany x Tajikistan,Dormant,Litter,2,0,0,NA
A_7,2,Italy x Sweden,Mixed,Native Soil,1,38,52,0.7307692307692307
A_7,2,Italy x Sweden,Mixed,Native Soil,2,0,0,NA
A_7,2,Italy x Sweden,Mixed,Native Soil,3,1,3,0.3333333333333333
A_8,2,UK x USA,Mixed,Control,1,6,14,0.42857142857142855
A_8,2,UK x USA,Mixed,Control,2,0,24,0
A_8,2,UK x USA,Mixed,Control,3,6,8,0.75
A_9,3,Italy x Sweden,Dormant,Native Soil,1,12,38,0.3157894736842105
A_9,3,Italy x Sweden,Dormant,Native Soil,2,1,3,0.3333333333333333
A_9,3,Italy x Sweden,Dormant,Native Soil,3,2,19,0.10526315789473684
B_0,1,Italy x Sweden,Dormant,Native Soil,1,9,10,0.9
B_0,1,Italy x Sweden,Dormant,Native Soil,2,0,0,NA
B_0,1,Italy x Sweden,Dormant,Native Soil,3,0,1,0
B_1,1,Italy x Sweden,Mixed,Control,1,13,32,0.40625
B_1,1,Italy x Sweden,Mixed,Control,2,0,78,0
B_1,1,Italy x Sweden,Mixed,Control,3,13,27,0.48148148148148145
B_10,3,UK x USA,Non-Dormant,Control,1,0,1,0
B_10,3,UK x USA,Non-Dormant,Control,2,0,0,NA
B_10,3,UK x USA,Non-Dormant,Control,3,1,4,0.25
B_11,3,Italy x Sweden,Non-Dormant,Native Soil,1,22,23,0.9565217391304348
B_11,3,Italy x Sweden,Non-Dormant,Native Soil,2,0,2,0
B_11,3,Italy x Sweden,Non-Dormant,Native Soil,3,1,4,0.25
B_12,3,Italy x Sweden,Mixed,Native Soil,1,26,29,0.896551724137931
B_12,3,Italy x Sweden,Mixed,Native Soil,2,0,1,0
B_12,3,Italy x Sweden,Mixed,Native Soil,3,5,12,0.4166666666666667
B_13,3,Italy x Sweden,Dormant,Litter,1,0,0,NA
B_13,3,Italy x Sweden,Dormant,Litter,2,0,0,NA
B_13,3,Italy x Sweden,Dormant,Litter,3,22,23,0.9565217391304348
B_2,1,Italy x Sweden,Non-Dormant,High Humidity,1,262,532,0.4924812030075188
B_2,1,Italy x Sweden,Non-Dormant,High Humidity,2,2,94,0.02127659574468085
B_2,1,Italy x Sweden,Non-Dormant,High Humidity,3,108,108,1
B_3,1,Germany x Tajikistan,Non-Dormant,Control,1,0,2,0
B_3,1,Germany x Tajikistan,Non-Dormant,Control,2,0,7,0
B_3,1,Germany x Tajikistan,Non-Dormant,Control,3,0,39,0
B_4,1,Italy x Sweden,Dormant,High Humidity,1,43,56,0.7678571428571429
B_4,1,Italy x Sweden,Dormant,High Humidity,2,8,37,0.21621621621621623
B_4,1,Italy x Sweden,Dormant,High Humidity,3,167,273,0.6117216117216118
B_5,2,UK x USA,Dormant,Control,1,0,9,0
B_5,2,UK x USA,Dormant,Control,2,0,45,0
B_5,2,UK x USA,Dormant,Control,3,0,0,NA
B_6,2,Italy x Sweden,Non-Dormant,High Humidity,1,9,20,0.45
B_6,2,Italy x Sweden,Non-Dormant,High Humidity,2,4,211,0.018957345971563982
B_6,2,Italy x Sweden,Non-Dormant,High Humidity,3,87,193,0.45077720207253885
B_7,2,Italy x Sweden,Mixed,Control,1,11,12,0.9166666666666666
B_7,2,Italy x Sweden,Mixed,Control,2,0,53,0
B_7,2,Italy x Sweden,Mixed,Control,3,48,179,0.2681564245810056
B_8,2,Germany x Tajikistan,Non-Dormant,Control,1,1,5,0.2
B_8,2,Germany x Tajikistan,Non-Dormant,Control,2,0,45,0
B_8,2,Germany x Tajikistan,Non-Dormant,Control,3,0,0,NA
B_9,3,UK x USA,Mixed,Control,1,0,9,0
B_9,3,UK x USA,Mixed,Control,2,0,13,0
B_9,3,UK x USA,Mixed,Control,3,0,3,0
C_0,1,Germany x Tajikistan,Non-Dormant,Litter,1,2,2,1
C_0,1,Germany x Tajikistan,Non-Dormant,Litter,2,0,0,NA
C_1,1,Italy x Sweden,Dormant,Control,1,7,20,0.35
C_1,1,Italy x Sweden,Dormant,Control,2,0,17,0
C_1,1,Italy x Sweden,Dormant,Control,3,0,137,0
C_10,3,Italy x Sweden,Dormant,High Humidity,1,1,19,0.05263157894736842
C_10,3,Italy x Sweden,Dormant,High Humidity,2,1,50,0.02
C_10,3,Italy x Sweden,Dormant,High Humidity,3,38,152,0.25
C_11,3,Germany x Tajikistan,Non-Dormant,Litter,1,0,0,NA
C_11,3,Germany x Tajikistan,Non-Dormant,Litter,2,0,2,0
C_12,3,Germany x Tajikistan,Dormant,Control,1,0,1,0
C_12,3,Germany x Tajikistan,Dormant,Control,2,0,3,0
C_12,3,Germany x Tajikistan,Dormant,Control,3,7,11,0.6363636363636364
C_13,3,Italy x Sweden,Mixed,High Humidity,1,1,3,0.3333333333333333
C_13,3,Italy x Sweden,Mixed,High Humidity,2,0,0,NA
C_13,3,Italy x Sweden,Mixed,High Humidity,3,10,20,0.5
C_2,1,Italy x Sweden,Non-Dormant,Control,1,1,1,1
C_2,1,Italy x Sweden,Non-Dormant,Control,2,0,32,0
C_2,1,Italy x Sweden,Non-Dormant,Control,3,23,40,0.575
C_3,1,Italy x Sweden,Mixed,Litter,1,11,41,0.2682926829268293
C_3,1,Italy x Sweden,Mixed,Litter,2,0,0,NA
C_3,1,Italy x Sweden,Mixed,Litter,3,41,106,0.3867924528301887
C_4,1,Germany x Tajikistan,Dormant,Litter,1,5,8,0.625
C_4,1,Germany x Tajikistan,Dormant,Litter,2,0,0,NA
C_5,2,UK x USA,Non-Dormant,Control,1,0,0,NA
C_5,2,UK x USA,Non-Dormant,Control,2,0,38,0
C_5,2,UK x USA,Non-Dormant,Control,3,4,6,0.6666666666666666
C_6,2,Germany x Tajikistan,Dormant,Control,1,1,5,0.2
C_6,2,Germany x Tajikistan,Dormant,Control,2,0,24,0
C_6,2,Germany x Tajikistan,Dormant,Control,3,0,1,0
C_7,2,Italy x Sweden,Dormant,Control,1,0,8,0
C_7,2,Italy x Sweden,Dormant,Control,2,3,9,0.3333333333333333
C_7,2,Italy x Sweden,Dormant,Control,3,27,74,0.36486486486486486
C_9,3,Italy x Sweden,Mixed,Control,1,0,1,0
C_9,3,Italy x Sweden,Mixed,Control,2,0,2,0
C_9,3,Italy x Sweden,Mixed,Control,3,10,20,0.5
D_0,1,UK x USA,Mixed,Control,1,35,46,0.7608695652173914
D_0,1,UK x USA,Mixed,Control,2,0,33,0
D_0,1,UK x USA,Mixed,Control,3,19,39,0.48717948717948717
D_1,1,Germany x Tajikistan,Mixed,Control,1,0,13,0
D_1,1,Germany x Tajikistan,Mixed,Control,2,0,205,0
D_1,1,Germany x Tajikistan,Mixed,Control,3,27,134,0.20149253731343283
D_10,3,Italy x Sweden,Mixed,Litter,1,0,8,0
D_10,3,Italy x Sweden,Mixed,Litter,2,0,41,0
