PopId,Season,Year,Block,RILSet,Dormancy,Envt,Ident,TotPopSurv,TotPopAdjNew,seasonalEst
A_0,1_Autumn,1,1,Italy x Sweden,Dormant,Litter,1-IS_D_F,54,56,0.9642857142857143
A_0,1_Summer,1,1,Italy x Sweden,Dormant,Litter,1-IS_D_F,0,0,NA
A_0,2_Autumn,2,1,Italy x Sweden,Dormant,Litter,1-IS_D_F,0,18,0
A_0,2_Summer,2,1,Italy x Sweden,Dormant,Litter,1-IS_D_F,0,0,NA
A_1,1_Autumn,1,1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,21,32,0.65625
A_1,1_Summer,1,1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,0,0,NA
A_1,2_Autumn,2,1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,0,0,NA
A_1,2_Summer,2,1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,81,291,0.27835051546391754
A_10,1_Autumn,1,3,Italy x Sweden,Non-Dormant,Litter,3-IS_ND_F,1,1,1
A_10,1_Summer,1,3,Italy x Sweden,Non-Dormant,Litter,3-IS_ND_F,0,3,0
A_10,2_Autumn,2,3,Italy x Sweden,Non-Dormant,Litter,3-IS_ND_F,0,0,NA
A_10,2_Summer,2,3,Italy x Sweden,Non-Dormant,Litter,3-IS_ND_F,0,0,NA
A_11,1_Autumn,1,3,UK x USA,Dormant,Control,3-TC_D_C,0,0,NA
A_11,1_Summer,1,3,UK x USA,Dormant,Control,3-TC_D_C,0,0,NA
A_11,2_Autumn,2,3,UK x USA,Dormant,Control,3-TC_D_C,0,0,NA
A_11,2_Summer,2,3,UK x USA,Dormant,Control,3-TC_D_C,7,43,0.16279069767441862
A_12,1_Autumn,1,3,Germany x Tajikistan,Mixed,Control,3-BS_M_C,0,4,0
A_12,1_Summer,1,3,Germany x Tajikistan,Mixed,Control,3-BS_M_C,0,0,NA
A_12,2_Autumn,2,3,Germany x Tajikistan,Mixed,Control,3-BS_M_C,0,0,NA
A_12,2_Summer,2,3,Germany x Tajikistan,Mixed,Control,3-BS_M_C,8,31,0.25806451612903225
A_2,1_Autumn,1,1,UK x USA,Dormant,Control,1-TC_D_C,1,12,0.08333333333333333
A_2,1_Summer,1,1,UK x USA,Dormant,Control,1-TC_D_C,0,0,NA
A_2,2_Autumn,2,1,UK x USA,Dormant,Control,1-TC_D_C,0,0,NA
A_2,2_Summer,2,1,UK x USA,Dormant,Control,1-TC_D_C,0,4,0
A_3,1_Autumn,1,1,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,168,226,0.7433628318584071
A_3,1_Summer,1,1,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,0,14,0
A_3,2_Autumn,2,1,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,0,6,0
A_3,2_Summer,2,1,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,0,0,NA
A_4,1_Autumn,1,1,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,110,116,0.9482758620689655
A_4,1_Summer,1,1,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,0,0,NA
A_4,2_Autumn,2,1,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,189,435,0.43448275862068964
A_4,2_Summer,2,1,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,55,103,0.5339805825242718
A_5,1_Autumn,1,2,Italy x Sweden,Mixed,Litter,2-IS_M_F,3,19,0.15789473684210525
A_5,1_Summer,1,2,Italy x Sweden,Mixed,Litter,2-IS_M_F,0,1,0
A_5,2_Autumn,2,2,Italy x Sweden,Mixed,Litter,2-IS_M_F,1,1,1
A_5,2_Summer,2,2,Italy x Sweden,Mixed,Litter,2-IS_M_F,0,0,NA
A_6,1_Autumn,1,2,Germany x Tajikistan,Dormant,Litter,2-BS_D_F,0,4,0
A_6,1_Summer,1,2,Germany x Tajikistan,Dormant,Litter,2-BS_D_F,0,0,NA
A_6,2_Autumn,2,2,Germany x Tajikistan,Dormant,Litter,2-BS_D_F,0,0,NA
A_6,2_Summer,2,2,Germany x Tajikistan,Dormant,Litter,2-BS_D_F,0,0,NA
A_7,1_Autumn,1,2,Italy x Sweden,Mixed,Native Soil,2-IS-M-Soil,19,19,1
A_7,1_Summer,1,2,Italy x Sweden,Mixed,Native Soil,2-IS-M-Soil,0,0,NA
A_7,2_Autumn,2,2,Italy x Sweden,Mixed,Native Soil,2-IS-M-Soil,0,0,NA
A_7,2_Summer,2,2,Italy x Sweden,Mixed,Native Soil,2-IS-M-Soil,0,0,NA
A_8,1_Autumn,1,2,UK x USA,Mixed,Control,2-TC_M_C,11,14,0.7857142857142857
A_8,1_Summer,1,2,UK x USA,Mixed,Control,2-TC_M_C,0,0,NA
A_8,2_Autumn,2,2,UK x USA,Mixed,Control,2-TC_M_C,0,0,NA
A_8,2_Summer,2,2,UK x USA,Mixed,Control,2-TC_M_C,13,24,0.5416666666666666
A_9,1_Autumn,1,3,Italy x Sweden,Dormant,Native Soil,3-IS-D-Soil,25,28,0.8928571428571429
A_9,1_Summer,1,3,Italy x Sweden,Dormant,Native Soil,3-IS-D-Soil,0,1,0
