Count of Cal Genotype,8,8,8,8,8,8,9,9,9,9,9,8,8,8,7,7,6,6,6,7,8,9,8,8,9,9,8,8,8,9,8,8,7,8,9,8,8,8,8,8,9,9,9,10,11,11,11,10,10,9,9,7,7,7,7,9,11,11,10,10,10,10,10,12,14,16,16,16,16,16,15,15,13,13,14,14,13,13,14,11,11,8,8,9,9,9,8,8,6,6,6,6,5,6,6,7,6,10,10,13,16,14,11,11,11,11,10,10
Count of Heterozygotes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Total # alleles,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800
Dormant Pop Allele Frequency,0.5,0.5,0.5,0.5,0.5,0.5,0.5625,0.5625,0.5625,0.5625,0.5625,0.5,0.5,0.5,0.4375,0.4375,0.375,0.375,0.375,0.4375,0.5,0.5625,0.5,0.5,0.5625,0.5625,0.53125,0.53125,0.53125,0.5625,0.5,0.5,0.4375,0.5,0.5625,0.5,0.5,0.5,0.5,0.5,0.5625,0.5625,0.5625,0.625,0.6875,0.6875,0.6875,0.625,0.625,0.5625,0.5625,0.46875,0.46875,0.46875,0.4375,0.5625,0.6875,0.6875,0.65625,0.625,0.625,0.625,0.625,0.75,0.875,1,1,1,1,1,0.9375,0.9375,0.8125,0.8125,0.875,0.875,0.8125,0.8125,0.875,0.6875,0.6875,0.5,0.5,0.5625,0.5625,0.5625,0.53125,0.53125,0.375,0.375,0.375,0.375,0.3125,0.40625,0.40625,0.4375,0.375,0.625,0.625,0.8125,1,0.875,0.6875,0.6875,0.6875,0.6875,0.625,0.625
Count of Cal Genotype,9,9,7,7,7,7,6,6,6,6,6,7,9,9,8,9,7,7,7,7,7,8,9,7,6,7,7,7,6,6,7,7,7,9,11,11,10,10,10,10,11,11,11,11,11,11,11,10,10,10,10,9,9,8,9,8,8,8,7,7,7,7,7,5,3,0,0,0,0,1,1,1,2,3,12,13,14,15,15,14,15,15,14,13,12,12,5,5,4,4,4,4,4,4,5,6,4,4,2,1,0,5,6,8,8,7,7,7
Count of Heterozygotes,0,0,0,0,1,1,1,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Total # alleles,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800
Non-Dormant Pop Allele Frequency,0.5625,0.5625,0.4375,0.4375,0.46875,0.46875,0.40625,0.40625,0.40625,0.40625,0.375,0.46875,0.625,0.5625,0.5,0.5625,0.4375,0.4375,0.4375,0.4375,0.4375,0.5,0.5625,0.46875,0.375,0.4375,0.46875,0.46875,0.40625,0.40625,0.46875,0.46875,0.46875,0.59375,0.6875,0.6875,0.625,0.625,0.625,0.625,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.625,0.625,0.625,0.625,0.5625,0.5625,0.5625,0.5625,0.5,0.5,0.5,0.4375,0.4375,0.4375,0.4375,0.46875,0.34375,0.21875,0,0,0,0,0.0625,0.0625,0.0625,0.15625,0.1875,0.75,0.8125,0.875,0.9375,0.9375,0.875,0.9375,0.9375,0.875,0.8125,0.75,0.75,0.3125,0.3125,0.28125,0.28125,0.28125,0.28125,0.28125,0.28125,0.34375,0.375,0.25,0.25,0.125,0.0625,0,0.3125,0.375,0.5,0.5,0.4375,0.4375,0.4375
Count of Cal Genotype,17,17,15,15,15,15,15,15,15,15,15,15,17,17,15,16,13,13,13,14,15,17,17,15,15,16,15,15,14,15,15,15,14,17,20,19,18,18,18,18,20,20,20,21,22,22,22,20,20,19,19,16,16,15,16,17,19,19,17,17,17,17,17,17,17,16,16,16,16,17,16,16,15,16,26,27,27,28,29,25,26,23,22,22,21,21,13,13,10,10,10,10,9,10,11,13,10,14,12,14,16,19,17,19,19,18,17,17
Count of Heterozygotes,0,0,0,0,1,1,1,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
