Block,Col,Row,Dormancy,EnvtTrt,DataCollector,Date,Year,Confirmed.Total,Max.Total
2,A,6,Dormant,Control,BQ,5/13/21,1,0,0
2,A,6,Dormant,Control,BQ,5/20/21,1,0,0
2,A,6,Dormant,Control,BQ,5/26/21,1,0,0
2,A,6,Dormant,Control,BQ,6/2/21,1,0,0
2,A,6,Dormant,Control,BQ,6/10/21,1,0,0
2,A,6,Dormant,Control,BQ,6/16/21,1,0,0
2,A,6,Dormant,Control,KD,6/23/21,1,0,0
2,A,6,Dormant,Control,BQ,6/30/21,1,0,0
2,A,6,Dormant,Control,BQ,7/7/21,1,0,0
2,A,6,Dormant,Control,BQ,7/14/21,1,0,0
2,A,6,Dormant,Control,KD,7/21/21,1,0,0
2,A,6,Dormant,Control,KD,7/28/21,1,0,0
2,A,6,Dormant,Control,BQ,8/4/21,1,0,0
2,A,6,Dormant,Control,BQ,8/11/21,1,0,0
2,A,6,Dormant,Control,BQ,8/17/21,1,0,0
2,A,6,Dormant,Control,DW,8/25/21,1,0,0
2,A,6,Dormant,Control,DW,9/2/21,1,0,0
2,A,6,Dormant,Control,DW,9/8/21,1,0,0
2,A,6,Dormant,Control,DW,9/15/21,1,0,0
2,A,6,Dormant,Control,DW,9/22/21,1,0,0
2,A,6,Dormant,Control,DW,9/29/21,1,4,8
2,A,6,Dormant,Control,DW,10/6/21,1,3,3
2,A,6,Dormant,Control,DW,10/13/21,1,1,1
2,A,6,Dormant,Control,DW,10/20/21,1,0,6
2,A,6,Dormant,Control,DW,10/27/21,1,0,0
2,A,6,Dormant,Control,DW,11/3/21,1,5,5
2,A,6,Dormant,Control,DW,11/10/21,1,1,1
2,A,6,Dormant,Control,DW,11/17/21,1,1,1
2,A,6,Dormant,Control,CF,11/22/21,1,0,0
2,A,6,Dormant,Control,BQ,12/1/21,1,0,0
2,A,6,Dormant,Control,BQ,12/8/21,1,0,0
2,A,6,Dormant,Control,BQ,12/15/21,1,0,0
2,A,6,Dormant,Control,BQ,12/22/21,1,0,0
2,A,6,Dormant,Control,N/A,12/29/21,1,0,0
2,A,6,Dormant,Control,BQ,1/5/22,1,0,0
2,A,6,Dormant,Control,BQ,1/12/22,1,0,0
2,A,6,Dormant,Control,BQ,1/19/22,1,0,0
2,A,6,Dormant,Control,DW,1/28/22,1,0,0
2,A,6,Dormant,Control,BQ,2/3/22,1,0,0
2,A,6,Dormant,Control,DW ,2/11/22,1,0,0
2,A,6,Dormant,Control,DW,2/18/22,1,0,0
2,A,6,Dormant,Control,DW ,2/25/22,1,0,0
2,A,6,Dormant,Control,DW ,3/4/22,1,0,0
2,A,6,Dormant,Control,BQ,3/11/22,1,0,0
2,A,6,Dormant,Control,DW,3/18/22,1,0,0
2,A,6,Dormant,Control,DW,3/25/22,1,0,1
2,A,6,Dormant,Control,DW ,4/8/22,1,0,0
2,A,6,Dormant,Control,DW,4/15/22,1,0,0
2,A,6,Dormant,Control,BQ,4/22/22,1,0,0
2,A,6,Dormant,Control,ET ,4/29/22,1,0,0
2,A,6,Dormant,Control,ET,5/5/22,1,0,0
2,A,6,Dormant,Control,BQ,5/13/22,2,0,0
2,A,6,Dormant,Control,BQ,5/19/22,2,0,0
2,A,6,Dormant,Control,CX,5/25/22,2,0,0
2,A,6,Dormant,Control,CX,6/10/22,2,0,0
2,A,6,Dormant,Control,BQ,6/17/22,2,0,0
2,A,6,Dormant,Control,BQ,6/24/22,2,0,0
2,A,6,Dormant,Control,BQ,6/29/22,2,0,0
2,A,6,Dormant,Control,BQ,7/15/22,2,0,0
2,A,6,Dormant,Control,BQ,7/22/22,2,0,0
2,A,6,Dormant,Control,ET,7/29/22,2,0,0
2,A,6,Dormant,Control,ET,8/2/22,2,0,0
2,A,6,Dormant,Control,ET,8/5/22,2,0,0
2,A,6,Dormant,Control,BQ,8/12/22,2,0,0
2,A,6,Dormant,Control,BQ,8/19/22,2,0,0
2,A,6,Dormant,Control,BQ,8/26/22,2,0,0
2,A,6,Dormant,Control,BQ,9/2/22,2,0,0
2,A,6,Dormant,Control,BQ,9/9/22,2,0,0
2,A,6,Dormant,Control,BQ,9/16/22,2,0,0
2,A,6,Dormant,Control,BQ,9/23/22,2,0,0
2,A,6,Dormant,Control,ET,9/29/22,2,0,0
2,A,6,Dormant,Control,YK,10/7/22,2,0,0
2,A,6,Dormant,Control,YK,10/14/22,2,0,0
2,A,6,Dormant,Control,YK,10/21/22,2,0,0
2,A,6,Dormant,Control,ET,10/26/22,2,0,0
2,A,6,Dormant,Control,BQ,11/4/22,2,0,0
2,A,6,Dormant,Control,ET,11/10/22,2,0,0
2,A,6,Dormant,Control,YK,11/18/22,2,0,0
2,A,6,Dormant,Control,ET,11/22/22,2,0,0
2,A,6,Dormant,Control,YK,12/2/22,2,0,0
2,A,6,Dormant,Control,BQ & EG,12/9/22,2,0,0
2,A,6,Non-Dormant,Control,BQ,5/13/21,1,0,0
2,A,6,Non-Dormant,Control,BQ,5/20/21,1,0,0
2,A,6,Non-Dormant,Control,BQ,5/26/21,1,0,0
2,A,6,Non-Dormant,Control,BQ,6/2/21,1,0,0
2,A,6,Non-Dormant,Control,BQ,6/10/21,1,20,20
2,A,6,Non-Dormant,Control,BQ,6/16/21,1,0,0
2,A,6,Non-Dormant,Control,KD,6/23/21,1,0,0
2,A,6,Non-Dormant,Control,BQ,6/30/21,1,0,0
2,A,6,Non-Dormant,Control,BQ,7/7/21,1,0,0
2,A,6,Non-Dormant,Control,BQ,7/14/21,1,15,15
2,A,6,Non-Dormant,Control,KD,7/21/21,1,0,0
2,A,6,Non-Dormant,Control,KD,7/28/21,1,0,0
2,A,6,Non-Dormant,Control,BQ,8/4/21,1,0,0
2,A,6,Non-Dormant,Control,BQ,8/11/21,1,0,0
2,A,6,Non-Dormant,Control,BQ,8/17/21,1,0,0
2,A,6,Non-Dormant,Control,DW,8/25/21,1,1,4
2,A,6,Non-Dormant,Control,DW,9/2/21,1,0,0
2,A,6,Non-Dormant,Control,DW,9/8/21,1,0,0
2,A,6,Non-Dormant,Control,DW,9/15/21,1,0,0
2,A,6,Non-Dormant,Control,DW,9/22/21,1,0,0
2,A,6,Non-Dormant,Control,DW,9/29/21,1,2,5
2,A,6,Non-Dormant,Control,DW,10/6/21,1,0,0
2,A,6,Non-Dormant,Control,DW,10/13/21,1,1,1
2,A,6,Non-Dormant,Control,DW,10/20/21,1,0,0
2,A,6,Non-Dormant,Control,DW,10/27/21,1,0,0
2,A,6,Non-Dormant,Control,DW,11/3/21,1,1,1
2,A,6,Non-Dormant,Control,DW,11/10/21,1,0,0
2,A,6,Non-Dormant,Control,DW,11/17/21,1,0,0
2,A,6,Non-Dormant,Control,CF,11/22/21,1,0,0
2,A,6,Non-Dormant,Control,BQ,12/1/21,1,0,0
2,A,6,Non-Dormant,Control,BQ,12/8/21,1,0,0
2,A,6,Non-Dormant,Control,BQ,12/15/21,1,0,0
2,A,6,Non-Dormant,Control,BQ,12/22/21,1,0,0
2,A,6,Non-Dormant,Control,N/A,12/29/21,1,0,0
2,A,6,Non-Dormant,Control,BQ,1/5/22,1,0,0
2,A,6,Non-Dormant,Control,BQ,1/12/22,1,0,0
2,A,6,Non-Dormant,Control,BQ,1/19/22,1,0,0
2,A,6,Non-Dormant,Control,DW,1/28/22,1,0,0
2,A,6,Non-Dormant,Control,BQ,2/3/22,1,0,0
2,A,6,Non-Dormant,Control,DW,2/11/22,1,0,0
2,A,6,Non-Dormant,Control,DW,2/18/22,1,0,0
2,A,6,Non-Dormant,Control,DW ,2/25/22,1,0,0
2,A,6,Non-Dormant,Control,DW ,3/4/22,1,0,0
2,A,6,Non-Dormant,Control,BQ,3/11/22,1,0,0
2,A,6,Non-Dormant,Control,DW,3/18/22,1,0,0
2,A,6,Non-Dormant,Control,DW,3/25/22,1,1,1
2,A,6,Non-Dormant,Control,DW ,4/8/22,1,0,0
2,A,6,Non-Dormant,Control,DW,4/15/22,1,0,0
2,A,6,Non-Dormant,Control,BQ,4/22/22,1,0,0
2,A,6,Non-Dormant,Control,ET ,4/29/22,1,0,0
2,A,6,Non-Dormant,Control,ET,5/5/22,1,0,0
2,A,6,Non-Dormant,Control,BQ,5/13/22,2,0,0
2,A,6,Non-Dormant,Control,BQ,5/19/22,2,0,0
2,A,6,Non-Dormant,Control,CX,5/25/22,2,0,0
2,A,6,Non-Dormant,Control,CX,6/10/22,2,0,0
2,A,6,Non-Dormant,Control,BQ,6/17/22,2,0,0
2,A,6,Non-Dormant,Control,BQ,6/24/22,2,0,0
2,A,6,Non-Dormant,Control,BQ,6/29/22,2,0,0
2,A,6,Non-Dormant,Control,BQ,7/15/22,2,0,0
2,A,6,Non-Dormant,Control,BQ,7/22/22,2,0,0
2,A,6,Non-Dormant,Control,ET,7/29/22,2,0,0
2,A,6,Non-Dormant,Control,ET,8/2/22,2,0,0
2,A,6,Non-Dormant,Control,ET,8/5/22,2,0,0
2,A,6,Non-Dormant,Control,BQ,8/12/22,2,0,0
2,A,6,Non-Dormant,Control,BQ,8/19/22,2,0,0
2,A,6,Non-Dormant,Control,BQ,8/26/22,2,0,0
2,A,6,Non-Dormant,Control,BQ,9/2/22,2,0,0
2,A,6,Non-Dormant,Control,BQ,9/9/22,2,0,0
2,A,6,Non-Dormant,Control,BQ,9/16/22,2,0,0
2,A,6,Non-Dormant,Control,BQ,9/23/22,2,0,0
2,A,6,Non-Dormant,Control,ET,9/29/22,2,0,0
2,A,6,Non-Dormant,Control,YK,10/7/22,2,0,0
2,A,6,Non-Dormant,Control,YK,10/14/22,2,0,0
2,A,6,Non-Dormant,Control,YK,10/21/22,2,0,0
2,A,6,Non-Dormant,Control,ET,10/26/22,2,0,0
2,A,6,Non-Dormant,Control,BQ,11/4/22,2,0,0
2,A,6,Non-Dormant,Control,ET,11/10/22,2,0,0
2,A,6,Non-Dormant,Control,YK,11/18/22,2,0,0
2,A,6,Non-Dormant,Control,ET,11/22/22,2,0,0
2,A,6,Non-Dormant,Control,YK,12/2/22,2,0,0
2,A,6,Non-Dormant,Control,BQ & EG,12/9/22,2,0,0
3,A,13,Dormant,Native Soil,BQ,5/13/21,1,0,0
3,A,13,Dormant,Native Soil,BQ,5/20/21,1,0,0
3,A,13,Dormant,Native Soil,BQ,5/26/21,1,0,0
3,A,13,Dormant,Native Soil,BQ,6/2/21,1,0,0
3,A,13,Dormant,Native Soil,BQ,6/10/21,1,0,0
3,A,13,Dormant,Native Soil,BQ,6/16/21,1,0,0
3,A,13,Dormant,Native Soil,KD,6/23/21,1,0,0
3,A,13,Dormant,Native Soil,BQ,6/30/21,1,0,0
3,A,13,Dormant,Native Soil,BQ,7/7/21,1,0,0
3,A,13,Dormant,Native Soil,BQ,7/14/21,1,0,0
3,A,13,Dormant,Native Soil,KD,7/21/21,1,0,0
3,A,13,Dormant,Native Soil,KD,7/28/21,1,0,0
3,A,13,Dormant,Native Soil,BQ,8/4/21,1,0,0
3,A,13,Dormant,Native Soil,BQ,8/11/21,1,0,0
3,A,13,Dormant,Native Soil,BQ,8/17/21,1,0,0
3,A,13,Dormant,Native Soil,DW,8/25/21,1,0,0
3,A,13,Dormant,Native Soil,DW,9/2/21,1,0,0
3,A,13,Dormant,Native Soil,DW,9/8/21,1,0,0
3,A,13,Dormant,Native Soil,DW,9/15/21,1,0,0
3,A,13,Dormant,Native Soil,DW,9/22/21,1,0,0
3,A,13,Dormant,Native Soil,DW,9/29/21,1,0,0
3,A,13,Dormant,Native Soil,DW,10/6/21,1,0,0
3,A,13,Dormant,Native Soil,DW,10/13/21,1,6,7
3,A,13,Dormant,Native Soil,DW,10/20/21,1,0,0
3,A,13,Dormant,Native Soil,DW,10/27/21,1,0,0
3,A,13,Dormant,Native Soil,DW,11/3/21,1,3,8
