Block,Col,Row,RILSet,Dormancy,Envt,Year,IndivID,BandColor,Date,BasalBranches,MainBranches,Height,Fruits
1,A,0,IS,Dormant,Litter,1,1,IC,4/15/20,1,0,7.876,9
1,A,0,IS,Dormant,Litter,1,2,OC,4/15/20,1,0,2.765,3
1,A,0,IS,Dormant,Litter,1,3,OC,4/15/20,1,0,11.465,20
1,A,0,IS,Dormant,Litter,1,4,OC,4/15/20,1,0,5.48,6
1,A,0,IS,Dormant,Litter,1,5,OC,4/15/20,1,4,28.1,71
1,A,0,IS,Dormant,Litter,1,6,OC,4/15/20,1,0,19.4,39
1,A,0,IS,Dormant,Litter,1,7,OC,4/15/20,1,3,17.1,47
1,A,0,IS,Dormant,Litter,1,8,OC,4/15/20,1,0,10.4,17
1,A,0,IS,Dormant,Litter,1,9,OC,4/15/20,1,0,6.3,11
1,A,0,IS,Dormant,Litter,1,10,OC,4/15/20,1,2,16.3,38
1,A,0,IS,Dormant,Litter,1,11,IC,4/15/20,1,0,4,3
1,A,0,IS,Dormant,Litter,1,12,OC,4/15/20,NA,NA,NA,11
1,A,0,IS,Dormant,Litter,1,13,OC,4/15/20,NA,NA,NA,10
1,A,0,IS,Dormant,Litter,1,14,OC,4/15/20,NA,NA,NA,5
1,A,0,IS,Dormant,Litter,1,15,OC,4/15/20,NA,NA,NA,7
1,A,0,IS,Dormant,Litter,1,16,OC,4/15/20,NA,NA,NA,5
1,A,0,IS,Dormant,Litter,1,17,OC,4/15/20,NA,NA,NA,8
1,A,0,IS,Dormant,Litter,1,18,OC,4/15/20,NA,NA,NA,14
1,A,3,IS,Non-Dormant,Litter,1,1,OC,4/15/20,1,0,4.4,4
1,A,3,IS,Non-Dormant,Litter,1,2,OC,4/15/20,1,0,4.5,3
1,A,3,IS,Non-Dormant,Litter,1,3,OC,4/15/20,1,0,4.6,2
1,A,3,IS,Non-Dormant,Litter,1,4,OC,4/15/20,1,0,3.3,2
1,A,3,IS,Non-Dormant,Litter,1,5,OC,4/15/20,1,0,2.8,3
1,A,3,IS,Non-Dormant,Litter,1,6,OC,4/15/20,1,0,5.2,3
1,A,3,IS,Non-Dormant,Litter,1,7,OC,4/15/20,1,0,5.8,6
1,A,3,IS,Non-Dormant,Litter,1,8,OC,4/15/20,1,0,4.3,3
2,A,5,IS,Mixed,Litter,1,2,IC,4/17/20,1,0,3.5,2
2,A,5,IS,Mixed,Litter,1,3,OC,4/17/20,1,0,5.8,4
2,A,5,IS,Mixed,Litter,1,4,OC,4/17/20,1,0,5.5,7
2,A,5,IS,Mixed,Litter,1,5,OC,4/17/20,1,0,4.4,6
2,A,5,IS,Mixed,Litter,1,6,OC,4/17/20,1,1,15.2,17
2,A,5,IS,Mixed,Litter,1,7,OC,4/17/20,4,0,17.2,103
2,A,5,IS,Mixed,Litter,1,8,OC,4/17/20,1,0,5.6,11
2,A,5,IS,Mixed,Litter,1,9,OC,4/17/20,1,0,4.5,8
2,A,5,IS,Mixed,Litter,1,10,OC,4/17/20,1,1,16.3,15
2,A,5,IS,Mixed,Litter,1,11,OC,4/17/20,1,0,6,7
2,A,5,IS,Mixed,Litter,1,12,OC,4/17/20,1,0,6.8,9
2,A,5,IS,Mixed,Litter,1,13,OC,4/17/20,1,0,3.3,5
2,A,5,IS,Mixed,Litter,1,14,OC,4/17/20,2,1,13,31
2,A,5,IS,Mixed,Litter,1,15,OC,4/17/20,1,0,17.5,23
2,A,5,IS,Mixed,Litter,1,16,OC,4/17/20,2,1,15.2,28
2,A,5,IS,Mixed,Litter,1,17,OC,4/17/20,1,0,10.4,9
2,A,5,IS,Mixed,Litter,1,18,OC,4/17/20,1,0,8.8,10
2,A,5,IS,Mixed,Litter,1,19,OC,4/17/20,1,0,4.9,5
2,A,7,IS,Mixed,Native Soil,1,1,green,4/17/20,1,0,6.2,10
2,A,7,IS,Mixed,Native Soil,1,2,orange,4/17/20,1,0,11,22
2,A,7,IS,Mixed,Native Soil,1,3,blue,4/17/20,1,0,10.5,16
2,A,7,IS,Mixed,Native Soil,1,4,purple,4/17/20,1,0,11.2,17
2,A,7,IS,Mixed,Native Soil,1,5,yellow,4/17/20,1,0,11.7,13
2,A,7,IS,Mixed,Native Soil,1,6,pink,4/17/20,1,0,19.5,22
2,A,7,IS,Mixed,Native Soil,1,7,yellow-blue,4/17/20,1,0,11.5,23
