Col,Row,Year,Date,CensusN
A,0,1,6/12/19,1.01
A,1,1,6/12/19,1.01
A,2,1,6/12/19,1.01
A,3,1,6/12/19,1.01
A,4,1,6/12/19,1.01
A,5,1,6/12/19,1.01
A,6,1,6/12/19,1.01
A,7,1,6/12/19,1.01
A,8,1,6/12/19,1.01
A,9,1,6/12/19,1.01
A,10,1,6/12/19,1.01
A,11,1,6/12/19,1.01
A,12,1,6/12/19,1.01
B,0,1,6/12/19,1.01
B,1,1,6/12/19,1.01
B,2,1,6/12/19,1.01
B,3,1,6/12/19,1.01
B,4,1,6/12/19,1.01
B,5,1,6/12/19,1.01
B,6,1,6/12/19,1.01
B,7,1,6/12/19,1.01
B,8,1,6/12/19,1.01
B,9,1,6/12/19,1.01
B,10,1,6/12/19,1.01
B,11,1,6/12/19,1.01
B,12,1,6/12/19,1.01
B,13,1,6/12/19,1.01
C,0,1,6/12/19,1.01
C,1,1,6/12/19,1.01
C,2,1,6/12/19,1.01
C,3,1,6/12/19,1.01
C,4,1,6/12/19,1.01
C,5,1,6/12/19,1.01
C,6,1,6/12/19,1.01
C,7,1,6/12/19,1.01
C,9,1,6/12/19,1.01
C,10,1,6/12/19,1.01
C,11,1,6/12/19,1.01
C,12,1,6/12/19,1.01
C,13,1,6/12/19,1.01
D,0,1,6/12/19,1.01
D,1,1,6/12/19,1.01
D,2,1,6/12/19,1.01
D,3,1,6/12/19,1.01
D,4,1,6/12/19,1.01
D,5,1,6/12/19,1.01
D,6,1,6/12/19,1.01
D,8,1,6/12/19,1.01
D,9,1,6/12/19,1.01
D,10,1,6/12/19,1.01
D,11,1,6/12/19,1.01
D,12,1,6/12/19,1.01
D,13,1,6/12/19,1.01
E,1,1,6/12/19,1.01
E,2,1,6/12/19,1.01
E,3,1,6/12/19,1.01
E,4,1,6/12/19,1.01
E,5,1,6/12/19,1.01
E,7,1,6/12/19,1.01
E,8,1,6/12/19,1.01
E,9,1,6/12/19,1.01
E,10,1,6/12/19,1.01
E,11,1,6/12/19,1.01
E,12,1,6/12/19,1.01
E,13,1,6/12/19,1.01
F,1,1,6/12/19,1.01
F,2,1,6/12/19,1.01
F,3,1,6/12/19,1.01
F,4,1,6/12/19,1.01
F,6,1,6/12/19,1.01
F,7,1,6/12/19,1.01
F,8,1,6/12/19,1.01
F,9,1,6/12/19,1.01
F,10,1,6/12/19,1.01
F,11,1,6/12/19,1.01
F,12,1,6/12/19,1.01
F,13,1,6/12/19,1.01
G,1,1,6/12/19,1.01
G,2,1,6/12/19,1.01
G,3,1,6/12/19,1.01
G,5,1,6/12/19,1.01
G,6,1,6/12/19,1.01
G,7,1,6/12/19,1.01
G,8,1,6/12/19,1.01
G,9,1,6/12/19,1.01
G,10,1,6/12/19,1.01
G,11,1,6/12/19,1.01
G,12,1,6/12/19,1.01
G,13,1,6/12/19,1.01
H,1,1,6/12/19,1.01
H,2,1,6/12/19,1.01
H,4,1,6/12/19,1.01
H,5,1,6/12/19,1.01
H,6,1,6/12/19,1.01
H,7,1,6/12/19,1.01
H,8,1,6/12/19,1.01
H,9,1,6/12/19,1.01
H,10,1,6/12/19,1.01
H,11,1,6/12/19,1.01
H,12,1,6/12/19,1.01
I,1,1,6/12/19,1.01
I,3,1,6/12/19,1.01
I,4,1,6/12/19,1.01
I,5,1,6/12/19,1.01
I,6,1,6/12/19,1.01
I,7,1,6/12/19,1.01
I,8,1,6/12/19,1.01
I,9,1,6/12/19,1.01
I,10,1,6/12/19,1.01
I,11,1,6/12/19,1.01
I,12,1,6/12/19,1.01
J,2,1,6/12/19,1.01
J,3,1,6/12/19,1.01
J,4,1,6/12/19,1.01
J,5,1,6/12/19,1.01
J,6,1,6/12/19,1.01
J,7,1,6/12/19,1.01
J,8,1,6/12/19,1.01
J,9,1,6/12/19,1.01
J,10,1,6/12/19,1.01
J,11,1,6/12/19,1.01
J,12,1,6/12/19,1.01
K,1,1,6/12/19,1.01
K,2,1,6/12/19,1.01
K,3,1,6/12/19,1.01
K,4,1,6/12/19,1.01
K,5,1,6/12/19,1.01
K,6,1,6/12/19,1.01
K,7,1,6/12/19,1.01
K,8,1,6/12/19,1.01
K,9,1,6/12/19,1.01
K,10,1,6/12/19,1.01
K,11,1,6/12/19,1.01
K,12,1,6/12/19,1.01
K,13,1,6/12/19,1.01
L,1,1,6/12/19,1.01
L,2,1,6/12/19,1.01
L,3,1,6/12/19,1.01
L,4,1,6/12/19,1.01
