RIL.SET,Plate.ID,Genotype,GermTrt,Rep,Dormancy,Total.Seeds,Germs.4wks
Italy x Swe,ISL18_A1,ISL_18,Above,1,D,20,0
Italy x Swe,ISL30_A1,ISL_30,Above,1,D,20,0
Italy x Swe,ISL48_A1,ISL_48,Above,1,D,20,0
Italy x Swe,ISL53_A1,ISL_53,Above,1,D,20,0
Italy x Swe,ISL65_A1,ISL_65,Above,1,D,20,2
Italy x Swe,ISL85_A1,ISL_85,Above,1,D,20,0
Italy x Swe,ISL88_A1,ISL_88,Above,1,D,20,0
Italy x Swe,ISL90_A1,ISL_90,Above,1,D,20,0
Italy x Swe,ISL99_A1,ISL_99,Above,1,D,20,0
Italy x Swe,ISL123_A1,ISL_123,Above,1,D,20,0
Italy x Swe,ISL130_A1,ISL_130,Above,1,D,20,0
Italy x Swe,ISL139_A1,ISL_139,Above,1,D,20,0
Italy x Swe,ISL149_A1,ISL_149,Above,1,D,20,0
Italy x Swe,ISL157_A1,ISL_157,Above,1,D,20,0
Italy x Swe,ISL174_A1,ISL_174,Above,1,D,20,0
Italy x Swe,ISL195_A1,ISL_195,Above,1,D,20,1
Italy x Swe,ISL222_A1,ISL_222,Above,1,D,20,0
Italy x Swe,ISL226_A1,ISL_226,Above,1,D,20,0
Italy x Swe,ISL254_A1,ISL_254,Above,1,D,20,0
Italy x Swe,ISL259_A1,ISL_259,Above,1,D,20,0
Italy x Swe,ISL270_A1,ISL_270,Above,1,D,20,0
Italy x Swe,ISL360_A1,ISL_360,Above,1,D,20,0
Italy x Swe,ISL420_A1,ISL_420,Above,1,D,20,0
Italy x Swe,ISL423_A1,ISL_423,Above,1,D,20,0
Italy x Swe,ISL431_A1,ISL_431,Above,1,D,20,0
Italy x Swe,ISL432_A1,ISL_432,Above,1,D,20,0
Italy x Swe,ISL448_A1,ISL_448,Above,1,D,20,0
Italy x Swe,ISL450_A1,ISL_450,Above,1,D,20,0
Italy x Swe,ISL454_A1,ISL_454,Above,1,D,20,0
Italy x Swe,ISL472_A1,ISL_472,Above,1,D,20,0
Italy x Swe,ISL499_A1,ISL_499,Above,1,D,20,0
Italy x Swe,ISL504_A1,ISL_504,Above,1,D,20,0
Italy x Swe,ISL506_A1,ISL_506,Above,1,D,20,0
Italy x Swe,ISL509_A1,ISL_509,Above,1,D,20,0
Italy x Swe,ISL519_A1,ISL_519,Above,1,D,20,0
Italy x Swe,ISL527_A1,ISL_527,Above,1,D,20,1
Italy x Swe,ISL559_A1,ISL_559,Above,1,D,20,0
Italy x Swe,ISL565_A1,ISL_565,Above,1,D,20,0
Italy x Swe,ISL576_A1,ISL_576,Above,1,D,20,0
Italy x Swe,ISL590_A1,ISL_590,Above,1,D,20,0
Italy x Swe,ISL609_A1,ISL_609,Above,1,D,20,0
Italy x Swe,ISL614_A1,ISL_614,Above,1,D,20,3
Italy x Swe,ISL663_A1,ISL_663,Above,1,D,20,0
Italy x Swe,ISL666_A1,ISL_666,Above,1,D,20,0
Italy x Swe,ISL680_A1,ISL_680,Above,1,D,20,7
Italy x Swe,IS286X_A1,IS-286_CROSS,Above,1,D,20,1
Italy x Swe,IS340X_A1,IS-340_CROSS,Above,1,D,20,0
Italy x Swe,ISL395_A1,ISL_395,Above,1,D,20,1
Italy x Swe,ISL521_A1,ISL_521,Above,1,D,20,1
Italy x Swe,ISL656_A1,ISL_656,Above,1,D,20,3
Italy x Swe,ISL29_A1,ISL_29,Above,1,ND,20,0
Italy x Swe,ISL41_A1,ISL_41,Above,1,ND,20,1
Italy x Swe,ISL140_A1,ISL_140,Above,1,ND,20,0
Italy x Swe,ISL171_A1,ISL_171,Above,1,ND,20,0
Italy x Swe,ISL212_A1,ISL_212,Above,1,ND,20,2
Italy x Swe,ISL241_A1,ISL_241,Above,1,ND,20,0
Italy x Swe,ISL242_A1,ISL_242,Above,1,ND,20,0
Italy x Swe,ISL295_A1,ISL_295,Above,1,ND,20,0
Italy x Swe,ISL353_A1,ISL_353,Above,1,ND,21,3
Italy x Swe,ISL440_A1,ISL_440,Above,1,ND,20,1
Italy x Swe,ISL508_A1,ISL_508,Above,1,ND,20,17
Italy x Swe,ISL550_A1,ISL_550,Above,1,ND,20,15
Italy x Swe,ISL672_A1,ISL_672,Above,1,ND,20,18
Italy x Swe,ISL51_A1,ISL_51,Above,1,ND,20,4
Italy x Swe,ISL189_A1,ISL_189,Above,1,ND,20,2
Italy x Swe,ISL198_A1,ISL_198,Above,1,ND,20,2
Italy x Swe,ISL219_A1,ISL_219,Above,1,ND,20,1
Italy x Swe,ISL331_A1,ISL_331,Above,1,ND,20,4
Italy x Swe,ISL385_A1,ISL_385,Above,1,ND,20,2
Italy x Swe,ISL485_A1,ISL_485,Above,1,ND,20,4
Italy x Swe,ISL67_A1,ISL_67,Above,1,ND,20,6
Italy x Swe,ISL78_A1,ISL_78,Above,1,ND,20,2
Italy x Swe,ISL106_A1,ISL_106,Above,1,ND,20,2
Italy x Swe,ISL232_A1,ISL_232,Above,1,ND,20,4
Italy x Swe,ISL393_A1,ISL_393,Above,1,ND,20,3
Italy x Swe,ISL397_A1,ISL_397,Above,1,ND,20,2
Italy x Swe,ISL414_A1,ISL_414,Above,1,ND,20,4
Italy x Swe,ISL494_A1,ISL_494,Above,1,ND,20,4
Italy x Swe,ISL640_A1,ISL_640,Above,1,ND,20,9
Italy x Swe,ISL649_A1,ISL_649,Above,1,ND,20,3
Italy x Swe,IS136X_A1,IS-136_CROSS,Above,1,ND,20,2
Italy x Swe,ISL206_A1,ISL_206,Above,1,ND,20,5
Italy x Swe,ISL486_A1,ISL_486,Above,1,ND,20,8
Italy x Swe,ISL124_A1,ISL_124,Above,1,ND,20,5
Italy x Swe,ISL594_A1,ISL_594,Above,1,ND,20,4
Italy x Swe,ISL683_A1,ISL_683,Above,1,ND,20,14
Italy x Swe,ISL231_A1,ISL_231,Above,1,ND,21,12
Italy x Swe,ISL264_A1,ISL_264,Above,1,ND,21,12
Italy x Swe,ISL108_A1,ISL_108,Above,1,ND,20,7
Italy x Swe,ISL227_A1,ISL_227,Above,1,ND,21,8
Italy x Swe,IS358X_A1,IS-358_CROSS,Above,1,ND,21,17
Italy x Swe,ISL305_A1,ISL_305,Above,1,ND,20,10
Italy x Swe,ISL356_A1,ISL_356,Above,1,ND,20,12
Italy x Swe,ISL25_A1,ISL_25,Above,1,ND,21,12
Italy x Swe,ISL230_A1,ISL_230,Above,1,ND,20,20
Italy x Swe,ISL574_A1,ISL_574,Above,1,ND,20,19
Italy x Swe,ISL647_A1,ISL_647,Above,1,ND,20,19
Italy x Swe,ISL75_A1,ISL_75,Above,1,ND,20,17
Italy x Swe,ISL681_A1,ISL_681,Above,1,ND,20,20
Italy x Swe,ISL383_A1,ISL_383,Above,1,ND,20,20
Italy x Swe,ISL18_C1,ISL_18,Cold,1,D,20,1
Italy x Swe,ISL30_C1,ISL_30,Cold,1,D,20,0
Italy x Swe,ISL48_C1,ISL_48,Cold,1,D,20,0
Italy x Swe,ISL53_C1,ISL_53,Cold,1,D,20,1
Italy x Swe,ISL65_C1,ISL_65,Cold,1,D,20,0
Italy x Swe,ISL85_C1,ISL_85,Cold,1,D,20,0
Italy x Swe,ISL88_C1,ISL_88,Cold,1,D,20,3
Italy x Swe,ISL90_C1,ISL_90,Cold,1,D,20,0
Italy x Swe,ISL99_C1,ISL_99,Cold,1,D,20,3
Italy x Swe,ISL123_C1,ISL_123,Cold,1,D,20,0
Italy x Swe,ISL130_C1,ISL_130,Cold,1,D,20,1
Italy x Swe,ISL139_C1,ISL_139,Cold,1,D,20,0
Italy x Swe,ISL149_C1,ISL_149,Cold,1,D,20,0
Italy x Swe,ISL157_C1,ISL_157,Cold,1,D,21,1
Italy x Swe,ISL174_C1,ISL_174,Cold,1,D,20,0
Italy x Swe,ISL195_C1,ISL_195,Cold,1,D,20,0
Italy x Swe,ISL222_C1,ISL_222,Cold,1,D,20,1
Italy x Swe,ISL226_C1,ISL_226,Cold,1,D,20,0
Italy x Swe,ISL254_C1,ISL_254,Cold,1,D,20,1
Italy x Swe,ISL259_C1,ISL_259,Cold,1,D,20,0
Italy x Swe,ISL270_C1,ISL_270,Cold,1,D,20,1
Italy x Swe,ISL360_C1,ISL_360,Cold,1,D,20,0
Italy x Swe,ISL395_C1,ISL_395,Cold,1,D,20,0
Italy x Swe,ISL420_C1,ISL_420,Cold,1,D,20,3
Italy x Swe,ISL423_C1,ISL_423,Cold,1,D,21,0
Italy x Swe,ISL431_C1,ISL_431,Cold,1,D,20,1
Italy x Swe,ISL432_C1,ISL_432,Cold,1,D,20,0
Italy x Swe,ISL448_C1,ISL_448,Cold,1,D,20,0
Italy x Swe,ISL450_C1,ISL_450,Cold,1,D,20,5
Italy x Swe,ISL454_C1,ISL_454,Cold,1,D,20,0
Italy x Swe,ISL472_C1,ISL_472,Cold,1,D,20,0
Italy x Swe,ISL499_C1,ISL_499,Cold,1,D,20,0
Italy x Swe,ISL504_C1,ISL_504,Cold,1,D,20,0
Italy x Swe,ISL506_C1,ISL_506,Cold,1,D,20,0
Italy x Swe,ISL509_C1,ISL_509,Cold,1,D,20,2
Italy x Swe,ISL519_C1,ISL_519,Cold,1,D,20,2
Italy x Swe,ISL521_C1,ISL_521,Cold,1,D,20,0
Italy x Swe,ISL527_C1,ISL_527,Cold,1,D,20,1
Italy x Swe,ISL559_C1,ISL_559,Cold,1,D,20,0
Italy x Swe,ISL565_C1,ISL_565,Cold,1,D,20,1
Italy x Swe,ISL576_C1,ISL_576,Cold,1,D,20,0
Italy x Swe,ISL590_C1,ISL_590,Cold,1,D,20,0
Italy x Swe,ISL609_C1,ISL_609,Cold,1,D,20,0
Italy x Swe,ISL614_C1,ISL_614,Cold,1,D,20,9
Italy x Swe,ISL656_C1,ISL_656,Cold,1,D,20,1
Italy x Swe,ISL663_C1,ISL_663,Cold,1,D,20,0
Italy x Swe,ISL666_C1,ISL_666,Cold,1,D,20,4
Italy x Swe,ISL680_C1,ISL_680,Cold,1,D,20,0
Italy x Swe,IS286X_C1,IS-286_CROSS,Cold,1,D,20,5
Italy x Swe,IS340X_C1,IS-340_CROSS,Cold,1,D,20,4
Italy x Swe,ISL25_C1,ISL_25,Cold,1,ND,20,20
Italy x Swe,ISL29_C1,ISL_29,Cold,1,ND,20,10
Italy x Swe,ISL41_C1,ISL_41,Cold,1,ND,20,10
Italy x Swe,ISL51_C1,ISL_51,Cold,1,ND,20,15
Italy x Swe,ISL67_C1,ISL_67,Cold,1,ND,20,20
Italy x Swe,ISL75_C1,ISL_75,Cold,1,ND,20,20
Italy x Swe,ISL78_C1,ISL_78,Cold,1,ND,20,9
Italy x Swe,ISL106_C1,ISL_106,Cold,1,ND,20,4
Italy x Swe,ISL108_C1,ISL_108,Cold,1,ND,20,20
Italy x Swe,ISL124_C1,ISL_124,Cold,1,ND,20,9
Italy x Swe,ISL140_C1,ISL_140,Cold,1,ND,20,1
Italy x Swe,ISL171_C1,ISL_171,Cold,1,ND,20,8
Italy x Swe,ISL189_C1,ISL_189,Cold,1,ND,20,11
Italy x Swe,ISL198_C1,ISL_198,Cold,1,ND,20,11
Italy x Swe,ISL206_C1,ISL_206,Cold,1,ND,20,20
Italy x Swe,ISL212_C1,ISL_212,Cold,1,ND,20,17
Italy x Swe,ISL219_C1,ISL_219,Cold,1,ND,20,4
Italy x Swe,ISL227_C1,ISL_227,Cold,1,ND,20,15
Italy x Swe,ISL230_C1,ISL_230,Cold,1,ND,20,20
Italy x Swe,ISL231_C1,ISL_231,Cold,1,ND,20,19
Italy x Swe,ISL232_C1,ISL_232,Cold,1,ND,20,9
Italy x Swe,ISL241_C1,ISL_241,Cold,1,ND,21,12
Italy x Swe,ISL242_C1,ISL_242,Cold,1,ND,20,2
Italy x Swe,ISL264_C1,ISL_264,Cold,1,ND,20,18
Italy x Swe,ISL295_C1,ISL_295,Cold,1,ND,20,11
Italy x Swe,ISL305_C1,ISL_305,Cold,1,ND,20,12
Italy x Swe,ISL331_C1,ISL_331,Cold,1,ND,20,6
Italy x Swe,ISL353_C1,ISL_353,Cold,1,ND,21,15
Italy x Swe,ISL356_C1,ISL_356,Cold,1,ND,20,10
Italy x Swe,ISL383_C1,ISL_383,Cold,1,ND,20,9
Italy x Swe,ISL393_C1,ISL_393,Cold,1,ND,20,19
Italy x Swe,ISL397_C1,ISL_397,Cold,1,ND,20,17
Italy x Swe,ISL414_C1,ISL_414,Cold,1,ND,20,9
Italy x Swe,ISL440_C1,ISL_440,Cold,1,ND,20,6
Italy x Swe,ISL485_C1,ISL_485,Cold,1,ND,20,17
Italy x Swe,ISL486_C1,ISL_486,Cold,1,ND,20,8
Italy x Swe,ISL494_C1,ISL_494,Cold,1,ND,20,9
Italy x Swe,ISL508_C1,ISL_508,Cold,1,ND,20,17
Italy x Swe,ISL550_C1,ISL_550,Cold,1,ND,20,17
Italy x Swe,ISL594_C1,ISL_594,Cold,1,ND,20,19
Italy x Swe,ISL647_C1,ISL_647,Cold,1,ND,20,20
Italy x Swe,ISL649_C1,ISL_649,Cold,1,ND,20,13
Italy x Swe,ISL672_C1,ISL_672,Cold,1,ND,20,11
Italy x Swe,ISL681_C1,ISL_681,Cold,1,ND,20,20
Italy x Swe,ISL683_C1,ISL_683,Cold,1,ND,20,9
Italy x Swe,IS136X_C1,IS-136_CROSS,Cold,1,ND,20,10
Italy x Swe,IS358X_C1,IS-358_CROSS,Cold,1,ND,20,20
Italy x Swe,ISL385_C1,ISL_385,Cold,1,ND,20,18
Italy x Swe,ISL574_C1,ISL_574,Cold,1,ND,20,19
Italy x Swe,ISL640_C1,ISL_640,Cold,1,ND,20,18
Italy x Swe,ISL18_O1,ISL_18,Optimal,1,D,20,0
Italy x Swe,ISL30_O1,ISL_30,Optimal,1,D,20,0
Italy x Swe,ISL48_O1,ISL_48,Optimal,1,D,20,0
Italy x Swe,ISL53_O1,ISL_53,Optimal,1,D,20,4
Italy x Swe,ISL65_O1,ISL_65,Optimal,1,D,20,0
Italy x Swe,ISL88_O1,ISL_88,Optimal,1,D,20,0
Italy x Swe,ISL99_O1,ISL_99,Optimal,1,D,20,0
Italy x Swe,ISL123_O1,ISL_123,Optimal,1,D,20,0
Italy x Swe,ISL130_O1,ISL_130,Optimal,1,D,20,0
Italy x Swe,ISL139_O1,ISL_139,Optimal,1,D,20,0
Italy x Swe,ISL149_O1,ISL_149,Optimal,1,D,20,0
Italy x Swe,ISL157_O1,ISL_157,Optimal,1,D,20,0
Italy x Swe,ISL174_O1,ISL_174,Optimal,1,D,20,0
Italy x Swe,ISL222_O1,ISL_222,Optimal,1,D,20,0
Italy x Swe,ISL226_O1,ISL_226,Optimal,1,D,20,0
Italy x Swe,ISL254_O1,ISL_254,Optimal,1,D,20,0
Italy x Swe,ISL259_O1,ISL_259,Optimal,1,D,20,0
Italy x Swe,ISL270_O1,ISL_270,Optimal,1,D,20,0
Italy x Swe,ISL360_O1,ISL_360,Optimal,1,D,20,0
Italy x Swe,ISL420_O1,ISL_420,Optimal,1,D,20,0
Italy x Swe,ISL432_O1,ISL_432,Optimal,1,D,20,0
Italy x Swe,ISL448_O1,ISL_448,Optimal,1,D,20,0
Italy x Swe,ISL450_O1,ISL_450,Optimal,1,D,20,0
Italy x Swe,ISL454_O1,ISL_454,Optimal,1,D,20,0
Italy x Swe,ISL472_O1,ISL_472,Optimal,1,D,21,1
Italy x Swe,ISL504_O1,ISL_504,Optimal,1,D,20,0
Italy x Swe,ISL509_O1,ISL_509,Optimal,1,D,20,0
Italy x Swe,ISL521_O1,ISL_521,Optimal,1,D,20,0
Italy x Swe,ISL527_O1,ISL_527,Optimal,1,D,20,0
Italy x Swe,ISL559_O1,ISL_559,Optimal,1,D,20,0
Italy x Swe,ISL565_O1,ISL_565,Optimal,1,D,20,0
Italy x Swe,ISL576_O1,ISL_576,Optimal,1,D,20,0
Italy x Swe,ISL590_O1,ISL_590,Optimal,1,D,20,1
Italy x Swe,ISL609_O1,ISL_609,Optimal,1,D,20,0
Italy x Swe,ISL663_O1,ISL_663,Optimal,1,D,20,0
Italy x Swe,ISL666_O1,ISL_666,Optimal,1,D,20,3
Italy x Swe,IS340X_O1,IS-340_CROSS,Optimal,1,D,20,0
Italy x Swe,ISL85_O1,ISL_85,Optimal,1,D,21,1
Italy x Swe,ISL90_O1,ISL_90,Optimal,1,D,20,1
Italy x Swe,ISL195_O1,ISL_195,Optimal,1,D,20,1
Italy x Swe,ISL395_O1,ISL_395,Optimal,1,D,20,1
Italy x Swe,ISL499_O1,ISL_499,Optimal,1,D,20,1
Italy x Swe,ISL506_O1,ISL_506,Optimal,1,D,20,2
Italy x Swe,ISL519_O1,ISL_519,Optimal,1,D,20,1
Italy x Swe,ISL614_O1,ISL_614,Optimal,1,D,20,6
Italy x Swe,ISL680_O1,ISL_680,Optimal,1,D,20,1
Italy x Swe,IS286X_O1,IS-286_CROSS,Optimal,1,D,20,3
Italy x Swe,ISL423_O1,ISL_423,Optimal,1,D,20,2
Italy x Swe,ISL431_O1,ISL_431,Optimal,1,D,20,2
Italy x Swe,ISL656_O1,ISL_656,Optimal,1,D,20,3
Italy x Swe,ISL29_O1,ISL_29,Optimal,1,ND,20,9
Italy x Swe,ISL140_O1,ISL_140,Optimal,1,ND,20,0
