Station,PopID,Block,Treatment,Year,Date,Month,Time,Data.SWC
3,Probe 3_ J7,5,High Humidity,Year 2,5/29/20,Start,16:00,0
3,Probe 3_ J7,5,High Humidity,Year 2,5/29/20,Start,20:00,0
3,Probe 3_ J7,5,High Humidity,Year 2,6/5/20,June,8:00,0
2,Probe 3_B9,3,Control,Year 1,3/3/20,Mar,0:00,0
2,Probe 4_A7,2,Native Soil,Year 1,10/10/19,Oct,4:00,0
3,Probe 3_ J7,5,High Humidity,Year 2,5/30/20,Start,0:00,0
3,Probe 4_J4,4,Native Soil,Year 1,4/1/20,April,0:00,0
3,Probe 4_J4,4,Native Soil,Year 2,1/12/21,Jan,16:00,0
3,Probe 3_ J7,5,High Humidity,Year 2,7/30/20,July,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/13/21,Start,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/14/21,Start,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/15/21,Start,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/15/21,Start,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/15/21,Start,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/16/21,Start,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/16/21,Start,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/16/21,Start,8:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/2/21,End,0:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/2/21,End,4:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/7/21,End,0:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/7/21,End,4:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/8/21,End,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/9/21,Start,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/11/21,Start,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/12/21,Start,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/12/21,Start,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/12/21,Start,12:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/12/21,Start,16:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/12/21,Start,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/13/21,Start,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/13/21,Start,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/14/21,Start,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/14/21,Start,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/14/21,Start,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/16/21,Start,12:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/16/21,Start,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/17/21,Start,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/17/21,Start,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/17/21,Start,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/18/21,Start,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/18/21,Start,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/18/21,Start,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/19/21,Start,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/19/21,Start,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/20/21,Start,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/20/21,Start,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/20/21,Start,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/21/21,Start,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/21/21,Start,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/21/21,Start,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/22/21,Start,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/22/21,Start,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/22/21,Start,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/23/21,Start,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/23/21,Start,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/23/21,Start,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/24/21,Start,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/24/21,Start,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/24/21,Start,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/25/21,Start,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/25/21,Start,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/26/21,Start,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/26/21,Start,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/27/21,Start,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/27/21,Start,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/28/21,Start,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/28/21,Start,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/28/21,Start,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/29/21,Start,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/29/21,Start,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/29/21,Start,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/29/21,Start,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/30/21,Start,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/30/21,Start,8:00,0
