Date Collected in Field,Block,Dormancy,Trt,Pop ID,Indiv #,Silique #,Date Counted,Data Collector,# Seeds,Notes
5/4/20,2,ND,Drought,B06,1,1,9/15/20,BQ,46,
5/4/20,2,ND,Drought,B06,1,2,9/15/20,BQ,47,
5/4/20,2,ND,Drought,B06,1,3,9/21/20,BQ,33,
5/4/20,2,ND,Drought,B06,1,4,9/21/20,BQ,33,
5/4/20,2,ND,Drought,B06,1,5,9/21/20,BQ,45,used ethanol to get seeds out of tube
5/4/20,2,ND,Drought,B06,2,1,9/21/20,BQ,36,
5/4/20,2,ND,Drought,B06,2,2,9/21/20,BQ,34,
5/4/20,2,ND,Drought,B06,2,3,9/21/20,BQ,36,
5/4/20,2,ND,Drought,B06,2,4,9/21/20,BQ,38,
5/4/20,2,ND,Drought,B06,2,5,9/21/20,BQ,35,
5/4/20,2,ND,Drought,B06,3,1,9/21/20,BQ,30,
5/4/20,2,ND,Drought,B06,3,2,9/21/20,BQ,32,
5/4/20,2,ND,Drought,B06,3,3,9/21/20,BQ,26,
5/4/20,2,ND,Drought,B06,3,4,9/22/20,BQ,27,
5/4/20,2,ND,Drought,B06,3,5,9/22/20,BQ,38,"lots of seeds stuck in tube, included in count"
5/4/20,2,ND,Drought,B06,4,1,9/22/20,BQ,33,
5/4/20,2,ND,Drought,B06,4,2,9/22/20,BQ,31,
5/4/20,2,ND,Drought,B06,4,3,9/22/20,BQ,23,
5/4/20,2,ND,Drought,B06,4,4,9/22/20,BQ,18,
5/4/20,2,ND,Drought,B06,5,1,9/22/20,BQ,.,didn't look like all of the silique was in the tube
5/4/20,2,ND,Drought,B06,5,2,9/22/20,BQ,30,4 seeds stuck in tube (included in count)
5/4/20,2,ND,Drought,B06,5,3,9/22/20,BQ,.,didn't look like all of the silique was in the tube
5/4/20,2,Dorm,Drought,D06,1,1,9/22/20,BQ,.,silique may have been open before put in tube
5/4/20,2,Dorm,Drought,D06,1,2,9/22/20,BQ,38,"2 seeds stuck in tube, included in count"
5/4/20,2,Dorm,Drought,D06,1,3,9/22/20,BQ,26,
5/4/20,2,Dorm,Drought,D06,1,4,9/22/20,BQ,23,
5/4/20,2,Dorm,Drought,D06,1,5,9/22/20,BQ,28,"2 seeds stuck in. tube, included in count"
5/4/20,2,Dorm,Drought,D06,2,1,9/28/20,BQ,17,
5/4/20,2,Dorm,Drought,D06,2,2,9/28/20,BQ,32,
5/4/20,2,Dorm,Drought,D06,2,3,9/28/20,BQ,33,
5/4/20,2,Dorm,Drought,D06,2,4,9/28/20,BQ,28,
5/4/20,2,Dorm,Drought,D06,3,1,9/29/20,BQ,33,
5/4/20,2,Dorm,Drought,D06,3,2,9/29/20,BQ,26,
5/4/20,2,Dorm,Drought,D06,3,3,9/29/20,BQ,.,didn't look like all of the fruit was in the tube (only one piece of the fruit)
5/4/20,2,Dorm,Drought,D06,3,4,9/29/20,BQ,42,
5/4/20,2,Dorm,Drought,D06,4,1,9/29/20,BQ,26,
5/4/20,2,Dorm,Drought,D06,4,2,9/29/20,BQ,29,
5/4/20,2,Dorm,Drought,D06,4,3,9/29/20,BQ,.,2 fruits in container; lots of seeds in tube (counted)
5/4/20,2,Dorm,Drought,D06,4,4,9/29/20,BQ,.,fruit looked damaged (like by a herbivore)
5/4/20,2,Dorm,Drought,D06,5,1,9/29/20,BQ,28,
5/4/20,2,Dorm,Drought,D06,5,2,9/29/20,BQ,35,
5/4/20,2,Dorm,Drought,D06,5,3,9/29/20,BQ,.,didn't look like all of the fruit was in the tube (only one piece of the fruit)
5/4/20,2,Dorm,Drought,D06,5,4,9/29/20,BQ,35,
4/28/20,6,Dorm,Soil,E09,1,1,8/31/20,PI,16,
4/28/20,6,Dorm,Soil,E09,1,2,8/31/20,PI,15,"there was one thing that looked like a seed but did not come off of the casing after multiple tries, so we're not counting it. "
4/28/20,6,Dorm,Soil,E09,1,3,8/31/20,PI,14,
4/28/20,6,Dorm,Soil,E09,1,4,8/31/20,PI,26,
4/28/20,6,Dorm,Soil,E09,1,5,8/31/20,PI,25,
4/28/20,6,Dorm,Soil,E09,2,1,8/31/20,PI,38,
4/28/20,6,Dorm,Soil,E09,2,2,09/01/2020,YE,31,Some seeds stuck inside tube but were included in the count
4/28/20,6,Dorm,Soil,E09,2,3,9/1/20,YE,46,
4/28/20,6,Dorm,Soil,E09,2,4,9/1/20,YE,24,
4/28/20,6,Dorm,Soil,E09,2,5,9/1/20,YE,39,
4/28/20,6,Dorm,Soil,E09,3,1,9/1/20,YE,18,
4/28/20,6,Dorm,Soil,E09,3,2,9/1/20,YE,29,
4/28/20,6,Dorm,Soil,E09,3,3,9/1/20,YE,28,"Two seeds stuck inside tube, but were included in count"
4/28/20,6,Dorm,Soil,E09,3,4,9/1/20,YE,28,Small bug found attached to fruit
4/28/20,6,ND,Soil,F12,1,1,9/7/20,PI,29,
4/28/20,6,ND,Soil,F12,1,2,9/7/20,PI,35,
4/28/20,6,ND,Soil,F12,1,3,9/7/20,PI,22,
4/28/20,6,ND,Soil,F12,1,4,9/7/20,PI,22,
4/28/20,6,ND,Soil,F12,1,5,9/7/20,PI,34,
4/28/20,6,ND,Soil,F12,2,1,9/7/20,PI,25,
4/28/20,6,ND,Soil,F12,2,2,9/7/20,PI,28,
4/28/20,6,ND,Soil,F12,2,3,9/7/20,PI,28,
4/28/20,6,ND,Soil,F12,2,4,9/7/20,PI,22,
