PopID,Block,Treatment,Year,Date,Month,Time,Data.Temp
B01,1,Control,Year 1,5/20/19,Start,12:01,33.5
D13,3,Control,Year 1,5/20/19,Start,12:01,32.5
G05,5,Control,Year 1,5/20/19,Start,12:01,30
K04,7,Control,Year 1,5/20/19,Start,12:01,31
B01,1,Control,Year 1,5/20/19,Start,16:01,40.5
D13,3,Control,Year 1,5/20/19,Start,16:01,42
G05,5,Control,Year 1,5/20/19,Start,16:01,36.5
K04,7,Control,Year 1,5/20/19,Start,16:01,33.5
B01,1,Control,Year 1,5/20/19,Start,20:01,26
D13,3,Control,Year 1,5/20/19,Start,20:01,25.5
G05,5,Control,Year 1,5/20/19,Start,20:01,26
K04,7,Control,Year 1,5/20/19,Start,20:01,25.5
A04,1,High Humidity,Year 1,5/20/19,Start,12:01,37
C10,3,High Humidity,Year 1,5/20/19,Start,12:01,33
J07,5,High Humidity,Year 1,5/20/19,Start,12:01,39.5
A04,1,High Humidity,Year 1,5/20/19,Start,16:01,49
C10,3,High Humidity,Year 1,5/20/19,Start,16:01,42.5
J07,5,High Humidity,Year 1,5/20/19,Start,16:01,42.5
A04,1,High Humidity,Year 1,5/20/19,Start,20:01,27.5
C10,3,High Humidity,Year 1,5/20/19,Start,20:01,28
J07,5,High Humidity,Year 1,5/20/19,Start,20:01,28
A09,3,Native Soil,Year 1,5/20/19,Start,12:01,37.5
D02,1,Native Soil,Year 1,5/20/19,Start,12:01,35
J09,5,Native Soil,Year 1,5/20/19,Start,12:01,34
A09,3,Native Soil,Year 1,5/20/19,Start,16:01,43.5
D02,1,Native Soil,Year 1,5/20/19,Start,16:01,42
J09,5,Native Soil,Year 1,5/20/19,Start,16:01,42.5
A09,3,Native Soil,Year 1,5/20/19,Start,20:01,27
D02,1,Native Soil,Year 1,5/20/19,Start,20:01,28
J09,5,Native Soil,Year 1,5/20/19,Start,20:01,28.5
B01,1,Control,Year 1,5/21/19,Start,0:01,23
D13,3,Control,Year 1,5/21/19,Start,0:01,23
G05,5,Control,Year 1,5/21/19,Start,0:01,24
K04,7,Control,Year 1,5/21/19,Start,0:01,23.5
B01,1,Control,Year 1,5/21/19,Start,4:01,20
D13,3,Control,Year 1,5/21/19,Start,4:01,20
G05,5,Control,Year 1,5/21/19,Start,4:01,21.5
K04,7,Control,Year 1,5/21/19,Start,4:01,21
B01,1,Control,Year 1,5/21/19,Start,8:01,22
D13,3,Control,Year 1,5/21/19,Start,8:01,23
G05,5,Control,Year 1,5/21/19,Start,8:01,24
K04,7,Control,Year 1,5/21/19,Start,8:01,22.5
B01,1,Control,Year 1,5/21/19,Start,12:01,31.5
D13,3,Control,Year 1,5/21/19,Start,12:01,31
G05,5,Control,Year 1,5/21/19,Start,12:01,30
K04,7,Control,Year 1,5/21/19,Start,12:01,32
B01,1,Control,Year 1,5/21/19,Start,16:01,32.5
D13,3,Control,Year 1,5/21/19,Start,16:01,31.5
G05,5,Control,Year 1,5/21/19,Start,16:01,30.5
K04,7,Control,Year 1,5/21/19,Start,16:01,33
B01,1,Control,Year 1,5/21/19,Start,20:01,26
D13,3,Control,Year 1,5/21/19,Start,20:01,26
G05,5,Control,Year 1,5/21/19,Start,20:01,25
K04,7,Control,Year 1,5/21/19,Start,20:01,25
A04,1,High Humidity,Year 1,5/21/19,Start,0:01,23.5
C10,3,High Humidity,Year 1,5/21/19,Start,0:01,24
J07,5,High Humidity,Year 1,5/21/19,Start,0:01,24
A04,1,High Humidity,Year 1,5/21/19,Start,4:01,20.5
C10,3,High Humidity,Year 1,5/21/19,Start,4:01,21
J07,5,High Humidity,Year 1,5/21/19,Start,4:01,21
A04,1,High Humidity,Year 1,5/21/19,Start,8:01,22.5
C10,3,High Humidity,Year 1,5/21/19,Start,8:01,23
J07,5,High Humidity,Year 1,5/21/19,Start,8:01,26.5
A04,1,High Humidity,Year 1,5/21/19,Start,12:01,34.5
C10,3,High Humidity,Year 1,5/21/19,Start,12:01,31.5
J07,5,High Humidity,Year 1,5/21/19,Start,12:01,34
A04,1,High Humidity,Year 1,5/21/19,Start,16:01,49.5
C10,3,High Humidity,Year 1,5/21/19,Start,16:01,38.5
J07,5,High Humidity,Year 1,5/21/19,Start,16:01,40
A04,1,High Humidity,Year 1,5/21/19,Start,20:01,29
C10,3,High Humidity,Year 1,5/21/19,Start,20:01,28
J07,5,High Humidity,Year 1,5/21/19,Start,20:01,28.5
A09,3,Native Soil,Year 1,5/21/19,Start,0:01,23.5
D02,1,Native Soil,Year 1,5/21/19,Start,0:01,24.5
J09,5,Native Soil,Year 1,5/21/19,Start,0:01,25
A09,3,Native Soil,Year 1,5/21/19,Start,4:01,20.5
D02,1,Native Soil,Year 1,5/21/19,Start,4:01,21.5
J09,5,Native Soil,Year 1,5/21/19,Start,4:01,22.5
A09,3,Native Soil,Year 1,5/21/19,Start,8:01,23.5
D02,1,Native Soil,Year 1,5/21/19,Start,8:01,23
J09,5,Native Soil,Year 1,5/21/19,Start,8:01,22.5
A09,3,Native Soil,Year 1,5/21/19,Start,12:01,33
D02,1,Native Soil,Year 1,5/21/19,Start,12:01,33
J09,5,Native Soil,Year 1,5/21/19,Start,12:01,33
A09,3,Native Soil,Year 1,5/21/19,Start,16:01,39.5
D02,1,Native Soil,Year 1,5/21/19,Start,16:01,39.5
J09,5,Native Soil,Year 1,5/21/19,Start,16:01,40
A09,3,Native Soil,Year 1,5/21/19,Start,20:01,28.5
D02,1,Native Soil,Year 1,5/21/19,Start,20:01,29.5
J09,5,Native Soil,Year 1,5/21/19,Start,20:01,29
B01,1,Control,Year 1,5/22/19,Start,0:01,22.5
D13,3,Control,Year 1,5/22/19,Start,0:01,22
G05,5,Control,Year 1,5/22/19,Start,0:01,22.5
K04,7,Control,Year 1,5/22/19,Start,0:01,22
B01,1,Control,Year 1,5/22/19,Start,4:01,20.5
D13,3,Control,Year 1,5/22/19,Start,4:01,20.5
G05,5,Control,Year 1,5/22/19,Start,4:01,21
K04,7,Control,Year 1,5/22/19,Start,4:01,20.5
B01,1,Control,Year 1,5/22/19,Start,8:01,23.5
D13,3,Control,Year 1,5/22/19,Start,8:01,23.5
G05,5,Control,Year 1,5/22/19,Start,8:01,24
K04,7,Control,Year 1,5/22/19,Start,8:01,22.5
B01,1,Control,Year 1,5/22/19,Start,12:01,31.5
D13,3,Control,Year 1,5/22/19,Start,12:01,32.5
G05,5,Control,Year 1,5/22/19,Start,12:01,28.5
K04,7,Control,Year 1,5/22/19,Start,12:01,28.5
B01,1,Control,Year 1,5/22/19,Start,16:01,34
D13,3,Control,Year 1,5/22/19,Start,16:01,35.5
G05,5,Control,Year 1,5/22/19,Start,16:01,29
K04,7,Control,Year 1,5/22/19,Start,16:01,29
B01,1,Control,Year 1,5/22/19,Start,20:01,26
D13,3,Control,Year 1,5/22/19,Start,20:01,26
G05,5,Control,Year 1,5/22/19,Start,20:01,24.5
K04,7,Control,Year 1,5/22/19,Start,20:01,24
A04,1,High Humidity,Year 1,5/22/19,Start,0:01,23
C10,3,High Humidity,Year 1,5/22/19,Start,0:01,23
J07,5,High Humidity,Year 1,5/22/19,Start,0:01,23
A04,1,High Humidity,Year 1,5/22/19,Start,4:01,20.5
C10,3,High Humidity,Year 1,5/22/19,Start,4:01,21
J07,5,High Humidity,Year 1,5/22/19,Start,4:01,21
A04,1,High Humidity,Year 1,5/22/19,Start,8:01,24
C10,3,High Humidity,Year 1,5/22/19,Start,8:01,24
J07,5,High Humidity,Year 1,5/22/19,Start,8:01,26
A04,1,High Humidity,Year 1,5/22/19,Start,12:01,34.5
C10,3,High Humidity,Year 1,5/22/19,Start,12:01,33
J07,5,High Humidity,Year 1,5/22/19,Start,12:01,34.5
A04,1,High Humidity,Year 1,5/22/19,Start,16:01,37
C10,3,High Humidity,Year 1,5/22/19,Start,16:01,36
J07,5,High Humidity,Year 1,5/22/19,Start,16:01,36.5
A04,1,High Humidity,Year 1,5/22/19,Start,20:01,27
C10,3,High Humidity,Year 1,5/22/19,Start,20:01,27
J07,5,High Humidity,Year 1,5/22/19,Start,20:01,27.5
A09,3,Native Soil,Year 1,5/22/19,Start,0:01,23
D02,1,Native Soil,Year 1,5/22/19,Start,0:01,24
J09,5,Native Soil,Year 1,5/22/19,Start,0:01,24.5
A09,3,Native Soil,Year 1,5/22/19,Start,4:01,20.5
D02,1,Native Soil,Year 1,5/22/19,Start,4:01,21.5
J09,5,Native Soil,Year 1,5/22/19,Start,4:01,22
A09,3,Native Soil,Year 1,5/22/19,Start,8:01,24
D02,1,Native Soil,Year 1,5/22/19,Start,8:01,23.5
J09,5,Native Soil,Year 1,5/22/19,Start,8:01,23
A09,3,Native Soil,Year 1,5/22/19,Start,12:01,34.5
D02,1,Native Soil,Year 1,5/22/19,Start,12:01,33.5
J09,5,Native Soil,Year 1,5/22/19,Start,12:01,31
A09,3,Native Soil,Year 1,5/22/19,Start,16:01,36
D02,1,Native Soil,Year 1,5/22/19,Start,16:01,35.5
J09,5,Native Soil,Year 1,5/22/19,Start,16:01,33
A09,3,Native Soil,Year 1,5/22/19,Start,20:01,27
D02,1,Native Soil,Year 1,5/22/19,Start,20:01,27.5
J09,5,Native Soil,Year 1,5/22/19,Start,20:01,27.5
B01,1,Control,Year 1,5/23/19,Start,0:01,23.5
D13,3,Control,Year 1,5/23/19,Start,0:01,23.5
G05,5,Control,Year 1,5/23/19,Start,0:01,23.5
K04,7,Control,Year 1,5/23/19,Start,0:01,22.5
B01,1,Control,Year 1,5/23/19,Start,4:01,21
D13,3,Control,Year 1,5/23/19,Start,4:01,21
G05,5,Control,Year 1,5/23/19,Start,4:01,22
K04,7,Control,Year 1,5/23/19,Start,4:01,21
B01,1,Control,Year 1,5/23/19,Start,8:01,23
D13,3,Control,Year 1,5/23/19,Start,8:01,23.5
G05,5,Control,Year 1,5/23/19,Start,8:01,24
K04,7,Control,Year 1,5/23/19,Start,8:01,23
B01,1,Control,Year 1,5/23/19,Start,12:01,27
D13,3,Control,Year 1,5/23/19,Start,12:01,27.5
G05,5,Control,Year 1,5/23/19,Start,12:01,26.5
K04,7,Control,Year 1,5/23/19,Start,12:01,25.5
B01,1,Control,Year 1,5/23/19,Start,16:01,37
D13,3,Control,Year 1,5/23/19,Start,16:01,38.5
G05,5,Control,Year 1,5/23/19,Start,16:01,32.5
K04,7,Control,Year 1,5/23/19,Start,16:01,31.5
B01,1,Control,Year 1,5/23/19,Start,20:01,28
D13,3,Control,Year 1,5/23/19,Start,20:01,28.5
G05,5,Control,Year 1,5/23/19,Start,20:01,27.5
K04,7,Control,Year 1,5/23/19,Start,20:01,26
A04,1,High Humidity,Year 1,5/23/19,Start,0:01,23.5
C10,3,High Humidity,Year 1,5/23/19,Start,0:01,24
J07,5,High Humidity,Year 1,5/23/19,Start,0:01,24
A04,1,High Humidity,Year 1,5/23/19,Start,4:01,21
C10,3,High Humidity,Year 1,5/23/19,Start,4:01,21.5
J07,5,High Humidity,Year 1,5/23/19,Start,4:01,21.5
A04,1,High Humidity,Year 1,5/23/19,Start,8:01,23.5
C10,3,High Humidity,Year 1,5/23/19,Start,8:01,24
J07,5,High Humidity,Year 1,5/23/19,Start,8:01,25
A04,1,High Humidity,Year 1,5/23/19,Start,12:01,28.5
C10,3,High Humidity,Year 1,5/23/19,Start,12:01,28
J07,5,High Humidity,Year 1,5/23/19,Start,12:01,29
A04,1,High Humidity,Year 1,5/23/19,Start,16:01,42
C10,3,High Humidity,Year 1,5/23/19,Start,16:01,38.5
J07,5,High Humidity,Year 1,5/23/19,Start,16:01,39
A04,1,High Humidity,Year 1,5/23/19,Start,20:01,29.5
C10,3,High Humidity,Year 1,5/23/19,Start,20:01,29.5
J07,5,High Humidity,Year 1,5/23/19,Start,20:01,29.5
A09,3,Native Soil,Year 1,5/23/19,Start,0:01,23.5
D02,1,Native Soil,Year 1,5/23/19,Start,0:01,24
J09,5,Native Soil,Year 1,5/23/19,Start,0:01,24.5
A09,3,Native Soil,Year 1,5/23/19,Start,4:01,21
D02,1,Native Soil,Year 1,5/23/19,Start,4:01,21.5
J09,5,Native Soil,Year 1,5/23/19,Start,4:01,22.5
A09,3,Native Soil,Year 1,5/23/19,Start,8:01,23.5
D02,1,Native Soil,Year 1,5/23/19,Start,8:01,23.5
J09,5,Native Soil,Year 1,5/23/19,Start,8:01,23.5
A09,3,Native Soil,Year 1,5/23/19,Start,12:01,28
D02,1,Native Soil,Year 1,5/23/19,Start,12:01,27
J09,5,Native Soil,Year 1,5/23/19,Start,12:01,26.5
A09,3,Native Soil,Year 1,5/23/19,Start,16:01,38.5
D02,1,Native Soil,Year 1,5/23/19,Start,16:01,37
J09,5,Native Soil,Year 1,5/23/19,Start,16:01,36
